passID,aid,membershipNumber,tier,points
9720,3,410692,Platinum,94658
3655,10,764437,Silver,99490
1291,25,516418,Platinum,72810
7321,16,644362,Gold,12124
6728,19,319692,Gold,95560
9188,22,818495,Diamond,26107
8603,5,580144,Platinum,87889
9210,17,673427,Platinum,80789
1509,17,227185,Gold,14775
677,4,158243,Platinum,17331
2525,6,423723,Platinum,9532
9413,9,917095,Platinum,40961
1728,24,746903,Gold,54010
1155,7,986052,Platinum,12332
5801,21,309328,Diamond,83479
8599,15,276632,Platinum,43159
5780,22,401400,Gold,91463
838,19,309178,Diamond,18614
7403,14,868549,Diamond,84618
5771,11,359189,Platinum,1337
4788,11,492434,Silver,49857
7905,21,285832,Diamond,44875
8808,1,724540,Diamond,49969
5334,20,474020,Platinum,62449
8339,14,436474,Platinum,88297
3592,3,795365,Platinum,2115
6768,18,421302,Silver,99159
2638,6,112633,Silver,77527
98,23,155514,Platinum,6172
7232,16,955899,Gold,59403
543,23,620508,Platinum,69815
5147,23,342001,Platinum,90306
2058,21,404219,Diamond,67502
4063,16,494608,Platinum,44608
1466,15,845144,Gold,33917
6570,24,594765,Platinum,45585
4170,16,432590,Gold,31282
1369,6,113148,Diamond,72892
5944,10,621832,Diamond,2153
844,25,494495,Gold,45835
5472,3,669202,Diamond,84441
2979,17,915811,Silver,79098
467,20,773656,Diamond,27882
5653,15,412984,Platinum,20632
6435,8,209760,Platinum,87159
4354,17,499899,Platinum,68814
1524,4,392173,Silver,28786
4533,25,670380,Diamond,21285
2647,5,150759,Platinum,14152
5110,11,374771,Diamond,48296
2836,25,504271,Gold,17518
6964,9,123052,Gold,6058
4406,3,843536,Platinum,43605
6972,23,180373,Silver,37131
1098,15,326226,Gold,64413
7669,23,644787,Gold,98462
4685,22,567170,Gold,32663
7936,2,990968,Gold,2356
7446,4,812091,Gold,5171
6830,10,856328,Platinum,16116
1457,24,519515,Silver,69399
2085,19,839896,Diamond,30517
7243,19,745170,Diamond,13374
4781,11,687100,Silver,76654
3174,17,957122,Gold,79891
2435,9,712615,Diamond,34839
4925,8,380966,Diamond,15664
272,15,529854,Diamond,23966
2333,16,900819,Gold,30635
8633,13,332921,Diamond,59064
2862,10,627672,Diamond,73364
6558,7,891435,Gold,77904
7690,18,195708,Diamond,37598
1109,15,928169,Platinum,70627
7282,16,907977,Gold,34949
1931,16,955970,Gold,60312
3672,10,736132,Diamond,30770
3438,8,927538,Gold,78469
5211,12,614543,Silver,14403
6695,25,491835,Platinum,47701
3135,17,951514,Silver,27643
17,20,155375,Gold,70685
8793,8,396808,Silver,12677
567,18,853494,Silver,57817
323,5,382434,Silver,30495
5676,17,341593,Gold,72397
1914,24,718755,Silver,44261
6098,5,455791,Gold,66645
2677,8,273244,Silver,9386
9588,17,785453,Gold,4632
671,4,550209,Diamond,27795
8963,12,353798,Silver,72468
6817,9,451136,Diamond,61473
7287,12,121892,Gold,23672
7286,13,856214,Diamond,68236
4653,18,944441,Diamond,30571
5234,22,604997,Gold,90613
480,17,192334,Gold,7609
7872,23,256321,Diamond,5737
1345,5,903884,Diamond,42866
3666,19,890281,Gold,79201
6195,8,308223,Platinum,89087
9205,20,893671,Diamond,34636
6791,12,835700,Gold,85063
883,2,532148,Platinum,15856
1485,19,645616,Gold,65502
4520,23,924899,Diamond,26666
6741,24,869782,Platinum,84601
1667,4,935429,Gold,14463
5040,2,886642,Diamond,91062
4445,6,252458,Diamond,60064
9459,11,975894,Silver,66727
2359,4,817892,Diamond,26580
5349,16,868094,Silver,73876
1106,18,466654,Platinum,5596
9527,1,846983,Silver,904
493,21,536380,Diamond,28728
914,22,563143,Platinum,21147
8311,2,704569,Silver,6731
8639,14,781310,Diamond,7402
3466,19,303166,Platinum,11778
3546,18,751573,Gold,56602
2025,25,115979,Gold,9324
1554,21,418797,Diamond,62957
8798,18,263494,Diamond,6600
5971,5,663123,Silver,20257
8227,11,522469,Diamond,77599
8906,2,184049,Diamond,92354
1681,18,554798,Silver,28499
4837,4,483573,Diamond,10919
3022,7,661067,Platinum,36072
2360,8,538636,Gold,1662
8934,16,413971,Silver,46333
2928,6,640459,Gold,61553
1938,13,903781,Diamond,75091
4021,18,480573,Diamond,91741
7278,18,348233,Platinum,52830
5782,23,975274,Silver,68857
5033,20,442394,Gold,84215
1832,18,885269,Platinum,73507
8065,2,605523,Silver,99870
6015,21,651457,Diamond,79702
9528,23,399987,Diamond,47886
7886,8,361455,Silver,52212
3980,12,470759,Platinum,67754
3444,10,809453,Gold,91235
7133,23,591812,Diamond,14006
55,17,851148,Silver,39087
1155,1,138810,Silver,47954
5636,4,120966,Silver,44925
9605,25,798022,Silver,62307
7092,22,489496,Gold,8021
8795,17,654749,Platinum,30613
8624,7,918591,Platinum,53432
6960,21,942102,Silver,16853
4396,8,703555,Diamond,63842
7632,8,643336,Diamond,89130
5367,7,932485,Gold,53186
8512,23,312286,Gold,28108
7478,24,928482,Platinum,65429
6562,18,118674,Silver,90384
8740,14,777287,Diamond,89478
3534,3,657438,Silver,90797
5198,14,195786,Gold,64807
3094,12,195806,Platinum,93139
6121,23,400052,Silver,28564
4633,13,856406,Platinum,7157
6287,21,215537,Platinum,44020
6361,18,314758,Silver,22881
5559,16,210197,Silver,94877
3767,10,827916,Gold,55981
6469,20,946150,Gold,9704
2183,3,303505,Diamond,66676
1536,18,438110,Diamond,68731
1931,10,596710,Gold,365
8443,13,884702,Diamond,77524
7561,5,187174,Platinum,79989
8732,3,631269,Silver,76391
7552,17,276045,Silver,86940
9857,5,336489,Silver,57352
3913,9,106814,Gold,11462
9961,4,971873,Gold,17007
3014,14,669823,Silver,65003
3430,2,476914,Gold,26479
6135,22,109141,Diamond,67161
7952,4,946683,Gold,75430
55,13,755246,Silver,35996
668,12,300454,Silver,87625
5264,20,474417,Diamond,96985
4249,17,415509,Platinum,50277
6437,10,862479,Gold,17509
5459,5,597575,Silver,92341
2676,6,957760,Platinum,51194
8776,20,558841,Diamond,51565
7010,4,802611,Platinum,90663
7671,19,563787,Gold,68033
3442,18,796937,Gold,686
7053,21,901539,Silver,21457
7375,14,360893,Diamond,48592
3020,1,557224,Platinum,44278
1044,16,358936,Diamond,15394
4253,5,957076,Silver,35229
9908,13,580252,Platinum,18303
627,5,970735,Diamond,70296
4550,25,952531,Gold,50435
5919,17,350000,Gold,66282
1385,2,921833,Silver,66994
9086,16,707848,Platinum,88700
3497,1,719597,Gold,21462
9613,3,653372,Diamond,41719
2870,11,653771,Silver,25963
6171,4,201192,Diamond,8835
2661,17,356845,Silver,87938
4669,5,580927,Gold,58731
9162,11,686990,Gold,1376
4006,11,528925,Platinum,60042
5608,6,213742,Diamond,28287
8428,22,251431,Platinum,86295
2645,18,308155,Diamond,54785
2971,17,510815,Diamond,63890
8656,24,396386,Silver,67064
260,16,662285,Gold,8686
8053,14,453422,Gold,67774
8764,18,620787,Gold,38744
9183,6,489779,Diamond,51714
4829,5,884301,Platinum,21322
7980,1,707722,Diamond,69956
5100,15,712158,Gold,18051
6828,24,565962,Diamond,46109
1598,17,930120,Platinum,47877
4613,21,198734,Platinum,4279
6699,3,200737,Silver,95860
3695,19,592583,Diamond,38930
1240,20,855265,Gold,89451
8897,8,370665,Diamond,50234
1893,11,448591,Silver,6307
6062,22,548325,Diamond,11758
3561,19,328886,Gold,3480
6977,17,602235,Diamond,79400
4954,12,403237,Gold,64942
9217,16,279713,Platinum,1670
898,13,385055,Diamond,95966
3008,21,170940,Platinum,65111
7396,3,148777,Diamond,589
6182,12,506381,Gold,15211
4371,13,954463,Platinum,68396
8368,2,496441,Platinum,9926
3838,1,158050,Gold,23374
5897,25,445783,Silver,80957
8294,2,582118,Platinum,92644
702,12,871969,Platinum,17549
8311,15,702844,Silver,88719
8813,22,855231,Diamond,39128
7902,23,426512,Gold,70446
8370,5,853754,Silver,67981
6386,22,312585,Gold,22688
8097,2,267806,Diamond,52470
7639,12,291535,Gold,76981
510,24,668921,Gold,25723
3161,19,794399,Platinum,4748
7613,11,573263,Platinum,65718
2767,18,280865,Diamond,37849
2087,5,233349,Platinum,88268
2498,13,675952,Diamond,49852
8879,18,970435,Silver,14316
3898,14,854263,Diamond,44695
2282,6,334248,Gold,37766
1639,3,604347,Silver,22046
1312,19,641914,Platinum,66548
4267,17,710157,Diamond,5651
4225,6,333944,Diamond,81482
5,8,865954,Diamond,71812
1986,7,173141,Diamond,67937
697,18,473431,Silver,19104
4927,7,465699,Silver,34881
4392,18,616163,Platinum,94156
8166,7,712325,Platinum,66627
9224,18,794257,Silver,28587
5019,6,104335,Gold,65038
3840,25,689436,Diamond,21506
380,17,227990,Diamond,57164
7831,14,823496,Diamond,57673
7446,20,254496,Diamond,72050
9639,4,763775,Diamond,87428
3460,10,345725,Gold,80609
6251,9,839522,Platinum,78606
490,15,932659,Platinum,91224
4688,8,174813,Diamond,33135
4800,12,927433,Diamond,54195
6373,7,935488,Platinum,55149
9708,9,845579,Silver,38235
7704,2,343385,Diamond,98656
6665,12,391657,Diamond,26910
7888,16,143413,Diamond,41288
8255,18,675820,Silver,92683
5572,18,996770,Gold,29254
4847,2,571573,Silver,5062
5801,1,131609,Silver,77319
8571,9,180405,Gold,16387
401,10,572090,Diamond,12882
9239,1,733579,Gold,69399
7865,13,243905,Diamond,54993
2864,25,274750,Platinum,24020
998,25,681812,Silver,83824
3374,20,902743,Diamond,98197
6184,23,991393,Gold,98757
791,18,238713,Diamond,29383
4949,17,404816,Silver,4435
2741,17,212935,Silver,94838
866,7,233091,Diamond,35707
1300,15,703491,Silver,51464
2331,15,468134,Diamond,32528
2599,14,807033,Gold,17770
7810,21,598064,Gold,66597
622,14,241623,Platinum,5427
6956,24,497301,Platinum,44425
2555,15,398036,Diamond,40748
3444,10,184909,Gold,88888
6159,21,237392,Gold,44142
7201,6,368453,Gold,16183
5185,18,320617,Platinum,90268
1663,4,143273,Diamond,10458
4223,14,598500,Silver,50267
9643,16,957034,Diamond,55311
8365,25,243007,Diamond,22455
2763,9,952140,Platinum,75514
3165,17,118782,Diamond,66145
1777,24,745298,Diamond,497
1540,5,341860,Gold,71563
3387,19,440936,Platinum,84245
2706,3,777527,Diamond,59035
1609,7,483325,Diamond,2020
1933,24,492268,Diamond,9086
7383,5,745223,Diamond,48525
4860,12,673356,Silver,9400
7576,14,265509,Gold,52093
6827,8,219919,Silver,42831
5761,4,469088,Silver,35864
5084,3,542683,Silver,69251
6924,9,991520,Gold,95238
5700,13,795637,Silver,56596
1502,21,163565,Gold,53412
5372,16,689324,Diamond,34487
1138,8,971331,Gold,42512
7403,16,547458,Diamond,26649
6275,13,253195,Silver,93695
9331,15,925363,Diamond,55059
9447,3,413430,Diamond,30154
4513,5,958130,Gold,58985
9140,13,849423,Diamond,94601
9643,6,959394,Diamond,20707
1697,1,111584,Diamond,55904
9121,17,889297,Platinum,19948
8961,8,255191,Platinum,21986
6227,1,488874,Diamond,29166
925,10,746121,Silver,1485
9506,12,161232,Diamond,81417
4550,18,503738,Diamond,51334
6757,21,381946,Platinum,80386
3399,25,111720,Gold,42552
1880,24,964987,Platinum,75915
4120,24,603259,Silver,61086
2716,25,921206,Platinum,89298
7520,6,301421,Diamond,91710
5411,6,436822,Diamond,2249
2969,22,832561,Gold,33723
1318,19,696913,Diamond,8511
5312,3,540730,Gold,12485
7377,25,108422,Silver,44143
2500,2,774872,Silver,6058
9346,4,975658,Gold,11515
2969,1,427925,Platinum,83460
8906,8,549156,Diamond,65466
2568,17,196803,Gold,64397
8559,12,582144,Silver,41478
8344,19,784576,Platinum,51529
6560,4,638132,Silver,22073
7188,5,480705,Diamond,51180
2803,12,218060,Silver,9072
7467,5,762171,Diamond,6265
1863,17,915730,Silver,9352
4698,21,588977,Diamond,81566
9660,20,996237,Platinum,25570
3270,1,553830,Gold,40935
9477,7,677464,Gold,24678
9123,4,429158,Platinum,83407
3672,12,230309,Silver,99315
1705,8,857715,Platinum,53916
4864,16,228552,Gold,64430
3271,16,642880,Diamond,89005
1478,10,982897,Gold,36588
3690,18,727956,Silver,54150
1019,25,958424,Silver,85032
4788,17,281878,Silver,46587
4321,1,485047,Silver,75094
8649,25,231772,Gold,75661
5367,21,406887,Gold,21038
4628,19,906536,Gold,97294
6754,6,388571,Diamond,275
7133,13,209266,Platinum,81732
2206,10,198167,Gold,59141
4885,21,282047,Gold,38692
7124,13,481869,Diamond,262
4651,5,399874,Platinum,47896
1251,9,130601,Platinum,14740
9134,7,661985,Silver,374
3348,13,181159,Platinum,20646
4365,1,871408,Diamond,22338
876,22,609033,Platinum,79964
5320,15,612075,Platinum,50298
9945,19,671363,Silver,48468
8028,14,583628,Platinum,8110
7355,2,973616,Diamond,52404
3150,3,525974,Silver,49801
8898,3,238832,Diamond,91303
6961,18,969534,Silver,54769
2902,20,938290,Silver,47067
1637,7,962349,Gold,91739
1459,14,381510,Platinum,43250
5533,22,531885,Silver,60669
1330,17,134752,Silver,10548
7269,8,799123,Gold,79382
9244,11,206029,Silver,96650
6923,5,933900,Diamond,9488
2672,15,163463,Diamond,56018
8640,23,622889,Gold,69755
2876,5,985180,Gold,82622
7135,2,737250,Gold,74066
9485,16,121503,Gold,61909
3205,18,883308,Gold,84330
1455,16,641787,Diamond,27125
4561,11,738328,Platinum,38570
237,13,140732,Silver,13166
8527,25,245369,Diamond,5663
6147,24,493474,Diamond,60553
1692,18,138554,Silver,81965
1152,13,914858,Platinum,76661
2954,9,100614,Diamond,28277
869,14,347671,Gold,3914
8619,9,658966,Silver,2638
8483,25,742019,Platinum,95788
3259,3,957493,Silver,88527
6501,19,256485,Silver,82078
3937,11,553739,Silver,64109
9242,15,414302,Diamond,48639
7597,8,472192,Diamond,1612
5169,18,323953,Diamond,13572
5008,13,163465,Gold,92871
7680,16,719551,Gold,58853
3416,3,831692,Diamond,534
7101,5,258278,Diamond,41310
51,20,535740,Silver,46537
5761,19,518228,Platinum,94557
8524,10,163323,Gold,92298
8820,5,754592,Gold,47898
8176,17,222687,Gold,4763
7262,21,527179,Platinum,3860
4959,1,804898,Gold,71310
4518,9,772460,Gold,44102
4113,5,807408,Diamond,76635
2420,20,842441,Diamond,88396
8270,6,130306,Diamond,45968
379,6,922385,Diamond,20037
8442,22,775387,Silver,89187
180,3,361625,Gold,20385
297,7,514631,Platinum,55545
1325,6,431728,Diamond,24703
9454,11,465372,Diamond,82150
4356,16,604242,Diamond,53450
4863,4,616522,Silver,4477
9682,16,534541,Silver,57746
4949,8,122547,Gold,35606
103,17,618596,Diamond,7347
9736,4,828700,Platinum,24017
5350,24,494648,Gold,53118
3492,21,424880,Gold,89306
632,12,992575,Silver,48092
5679,16,178504,Platinum,40286
5468,7,667968,Gold,31917
9660,20,789669,Gold,14814
8248,1,768452,Platinum,17417
6776,8,802514,Silver,54468
5975,14,504754,Platinum,40248
3263,2,410537,Diamond,84964
6923,8,947373,Diamond,16250
5048,6,443838,Silver,84086
9963,16,293435,Diamond,94391
8144,23,744011,Silver,21126
2466,24,407026,Silver,22334
8781,15,413711,Gold,43408
7980,19,316796,Silver,86650
9994,13,202513,Diamond,23526
6175,11,526018,Platinum,9715
1181,7,970395,Platinum,96695
2616,9,388520,Platinum,35776
2321,22,518215,Platinum,14096
2464,1,744820,Silver,39709
1896,10,315353,Platinum,25016
3399,14,611712,Platinum,85979
8378,20,709955,Silver,45381
8292,1,984727,Silver,84617
6866,6,888484,Silver,17124
1843,5,353011,Platinum,72426
4389,21,927860,Diamond,25077
9681,5,858406,Silver,29040
5143,16,807673,Platinum,2470
8793,14,481979,Platinum,22883
76,10,457524,Gold,11788
5831,9,992968,Diamond,95971
5624,19,129825,Silver,56340
4337,16,582936,Platinum,71444
8206,1,560137,Gold,10421
5704,17,699819,Silver,90224
6962,2,350190,Silver,9442
9452,20,487580,Diamond,84838
6091,4,524267,Gold,64568
6010,21,220809,Gold,98872
4501,5,951878,Platinum,87865
5426,5,732173,Silver,48807
3746,3,848923,Diamond,91313
2091,15,451330,Diamond,89311
9808,18,785626,Gold,41474
6854,15,838421,Gold,38446
4682,25,698847,Gold,45654
7008,6,333327,Diamond,11812
394,11,534908,Diamond,88000
7181,14,144399,Platinum,64559
1382,24,806305,Platinum,41158
7526,18,722186,Diamond,38429
843,25,392727,Platinum,17323
7161,5,125408,Diamond,54926
9441,18,527579,Gold,33148
2149,7,539809,Silver,95992
5351,13,128747,Platinum,83235
5431,3,146401,Silver,72467
8637,13,467136,Silver,66390
4093,9,724110,Diamond,21917
6688,2,694199,Diamond,62576
1956,1,155826,Platinum,57242
6041,14,479801,Platinum,114
1638,5,862866,Diamond,12387
2545,3,322605,Silver,24858
8085,9,405227,Gold,93259
4866,5,845464,Diamond,87410
5950,1,728921,Platinum,15331
8248,22,435633,Gold,77818
4997,6,619776,Gold,43729
2476,15,683549,Platinum,25463
3404,21,365476,Platinum,23743
6709,11,273786,Silver,47720
4142,10,374799,Diamond,74737
1345,9,541541,Diamond,33136
1680,1,440776,Platinum,78866
4290,12,492341,Silver,57671
2773,10,905486,Platinum,93300
4337,18,997806,Silver,72826
2865,11,965014,Diamond,92917
2815,9,945695,Platinum,14466
7464,22,611563,Silver,83673
272,20,179019,Diamond,93112
5532,21,305526,Platinum,84919
1954,24,635138,Silver,78459
8698,3,704438,Diamond,27421
8578,12,352214,Diamond,34702
6445,16,876169,Diamond,98527
772,17,893600,Platinum,1557
584,25,775325,Silver,99039
4736,23,411469,Platinum,13623
7493,8,521880,Platinum,46368
6595,9,834061,Gold,18870
6327,15,405413,Gold,78947
6253,8,147750,Silver,40202
717,12,981755,Silver,47354
7638,4,695442,Platinum,24644
2122,21,259475,Gold,12388
9800,23,925306,Platinum,98295
1354,13,323388,Gold,44177
2107,8,418440,Gold,51871
7447,3,260859,Silver,81861
2476,1,125621,Silver,69352
4505,2,860987,Silver,59051
5004,8,671968,Diamond,93633
3156,2,789723,Gold,98055
4879,5,195883,Diamond,11474
8044,6,524639,Gold,12767
8762,12,749512,Diamond,85035
6314,13,311515,Diamond,35859
4001,5,544405,Gold,70639
7156,8,765387,Gold,37357
3984,23,502433,Platinum,98509
2550,8,233270,Gold,15177
3870,12,262257,Diamond,96757
7937,6,649321,Platinum,15752
193,13,783975,Gold,14266
3783,18,393796,Silver,24549
2161,17,332626,Silver,96393
3113,16,287564,Silver,68648
104,10,805690,Diamond,39671
7899,5,531344,Silver,1095
683,2,921414,Gold,51220
5529,22,332894,Gold,74941
1573,25,123011,Diamond,68038
9617,24,948822,Gold,74139
7705,13,924320,Gold,69269
9413,22,768076,Silver,22504
7706,22,898060,Diamond,61726
2719,15,687780,Platinum,21970
6927,21,260158,Gold,75064
8092,4,672834,Silver,55043
604,17,698913,Silver,51123
179,23,723285,Silver,63574
8313,17,821583,Diamond,99791
4825,1,731164,Gold,92775
2674,12,713050,Diamond,78268
2761,17,620178,Gold,84758
6280,7,752918,Silver,64109
2218,5,742419,Diamond,87780
4440,14,128714,Diamond,69558
6181,24,151421,Gold,99230
7987,5,202933,Gold,62508
5890,20,913154,Platinum,12145
6602,12,730428,Silver,48069
4554,14,379589,Silver,87626
2809,23,952915,Gold,69894
9396,4,370125,Platinum,3143
2201,16,857841,Silver,47577
172,19,604563,Gold,53027
4431,9,748404,Gold,1003
5117,25,257288,Platinum,48479
9769,16,385589,Diamond,80973
2132,22,524343,Gold,72590
1749,21,991378,Platinum,96906
8127,16,597903,Gold,25862
7925,7,994711,Silver,25013
4143,21,591935,Platinum,84032
1665,19,598155,Gold,42536
7157,11,291099,Gold,73066
111,10,535374,Gold,76951
6167,22,257871,Gold,87145
3210,24,301966,Diamond,81483
7691,16,748052,Diamond,20832
2641,23,727522,Gold,60411
1978,16,233429,Platinum,56524
5167,12,654149,Silver,6535
9683,13,841817,Silver,53975
181,21,293755,Diamond,65133
9657,14,962439,Gold,25150
3861,21,181860,Platinum,90023
4423,5,863616,Platinum,54390
6044,21,784273,Diamond,38808
2496,25,445781,Silver,8045
2157,17,387624,Silver,78427
6968,20,727765,Platinum,85960
9863,24,446764,Gold,39769
5716,15,133345,Diamond,62007
201,10,119231,Silver,19892
5415,25,834521,Silver,9252
9118,13,259729,Gold,93057
118,17,611682,Silver,94325
1065,5,325544,Diamond,61039
936,6,526748,Gold,10526
4442,1,774516,Silver,63942
9072,19,360475,Silver,77054
6486,25,437126,Platinum,6377
674,25,893066,Diamond,82272
8016,7,154796,Gold,64442
1369,9,441869,Silver,3795
2919,21,179132,Platinum,14301
5591,7,779064,Silver,95631
1131,10,259568,Silver,9528
3412,19,870882,Diamond,12316
9007,20,255761,Platinum,68615
3911,24,465847,Silver,87721
9475,9,512436,Platinum,36174
8505,7,185003,Silver,87792
409,22,957316,Silver,3551
4186,2,573412,Gold,19538
3679,6,691160,Platinum,17305
2457,5,772171,Diamond,7719
9948,8,707159,Diamond,88024
197,20,477406,Diamond,10557
4635,17,993819,Gold,40403
1616,17,154338,Gold,59439
4614,14,953185,Diamond,95483
8399,20,848034,Gold,40041
2359,14,786699,Gold,31028
5797,2,668919,Gold,4725
8929,6,892084,Platinum,36344
5736,1,274571,Silver,22368
4453,15,319630,Diamond,61321
1204,23,526003,Diamond,11232
880,10,332504,Gold,23867
7411,23,132264,Platinum,84763
5547,10,188172,Gold,53632
4574,19,494388,Gold,45764
4656,12,846550,Platinum,89233
4674,5,115945,Gold,47441
8127,22,883633,Diamond,33041
3149,2,730746,Silver,9668
4783,6,352231,Diamond,69762
825,16,183620,Platinum,44545
5996,4,263977,Silver,9685
7303,21,331106,Silver,39187
7238,10,853846,Gold,74092
7741,10,194297,Platinum,3904
4925,11,340821,Silver,36498
9201,24,433116,Platinum,43821
9260,19,339996,Diamond,15362
5833,20,449296,Platinum,74168
6114,21,744707,Diamond,95695
7589,3,372264,Platinum,61543
5671,12,989158,Silver,54818
1165,13,109392,Gold,78817
5848,21,766170,Silver,22721
6946,20,282710,Gold,12537
5550,21,355388,Silver,10933
269,1,887827,Silver,7370
3584,20,736850,Platinum,62498
3030,13,194554,Platinum,89405
9084,2,749883,Gold,78161
7405,23,580223,Silver,56241
4543,16,280450,Silver,55254
25,20,352986,Silver,43757
5384,1,392719,Platinum,57931
658,12,740002,Diamond,63669
9802,17,550499,Diamond,60548
8155,5,603348,Diamond,12672
5574,17,902150,Platinum,71668
5599,25,896502,Diamond,71374
1516,24,951962,Platinum,51341
2469,15,212020,Silver,93231
5558,2,115081,Silver,18906
8977,10,547569,Diamond,72403
4342,17,431666,Gold,51489
7983,11,813223,Platinum,69247
686,20,243857,Gold,52664
2149,17,665622,Diamond,11971
8391,24,134320,Diamond,45369
3369,3,705256,Diamond,73337
4937,17,921679,Platinum,97510
196,11,882071,Gold,69796
6027,13,168684,Diamond,20343
4113,6,787887,Platinum,20507
9312,17,612328,Diamond,78366
8370,7,947509,Diamond,10596
9847,12,841603,Gold,92249
3334,5,974420,Diamond,93429
3827,4,954800,Gold,99317
5156,22,165080,Platinum,69280
1997,8,282685,Diamond,57615
9674,2,745471,Platinum,68524
4679,22,324558,Silver,78656
1038,18,865233,Diamond,51514
3146,22,130734,Silver,48656
2439,22,167104,Silver,68442
9802,17,494299,Platinum,26339
3984,2,175206,Diamond,89685
3140,2,846811,Platinum,51806
2505,19,963375,Silver,75572
1626,19,566931,Gold,72648
2106,3,829492,Diamond,53366
79,12,843031,Gold,97459
2839,7,247270,Gold,57412
53,11,211445,Gold,21126
7556,19,332426,Platinum,39288
53,9,167307,Platinum,77149
4509,17,142028,Silver,73327
2398,24,742938,Platinum,28162
8618,9,479940,Gold,85047
4688,15,148969,Silver,87420
1510,10,946860,Diamond,32766
2325,24,304438,Diamond,90860
5707,22,475970,Platinum,60463
1956,1,190460,Gold,81433
2703,1,208346,Gold,20973
9730,23,883793,Diamond,57566
1903,12,897763,Gold,4600
5378,4,483421,Silver,13056
4052,15,551266,Gold,73539
8886,2,984654,Gold,10771
1734,9,605904,Silver,36010
4372,1,174415,Gold,60357
658,24,168490,Diamond,85307
9516,12,627659,Diamond,12053
6026,7,655868,Gold,86309
4827,7,605679,Platinum,37536
5360,12,346532,Platinum,95941
2499,10,245724,Silver,85904
676,25,771783,Platinum,58133
2132,8,459300,Silver,24133
1343,25,930992,Gold,12664
6476,17,694866,Platinum,63890
3501,19,582090,Diamond,48148
9585,8,983089,Platinum,98159
1439,9,520162,Silver,9078
7206,11,424929,Platinum,84582
3222,11,541055,Diamond,65617
5366,16,961922,Gold,31982
4896,18,277226,Gold,24636
776,3,295962,Platinum,84396
9859,4,624250,Platinum,73344
3554,17,249410,Platinum,16729
9712,9,477104,Gold,351
763,18,289066,Silver,73875
8707,7,712146,Gold,84918
9403,14,944288,Gold,23827
1124,3,731963,Diamond,14211
6617,20,799055,Gold,7345
8786,24,547321,Platinum,39824
8232,20,837248,Platinum,19377
1147,14,383112,Diamond,4765
4339,1,212666,Platinum,58410
5827,25,721408,Platinum,78144
8872,11,823843,Diamond,88365
6095,4,761758,Platinum,90632
51,12,179785,Gold,32158
5775,23,306272,Platinum,81983
6705,20,127435,Platinum,91725
2368,10,377705,Platinum,50407
3223,12,816823,Silver,62352
1058,22,650346,Diamond,98177
2824,15,230559,Platinum,64402
7852,22,365204,Gold,79826
5713,22,817859,Silver,71747
8062,10,913759,Diamond,96782
6516,21,176338,Silver,95005
5798,10,217338,Silver,12355
9506,15,538979,Diamond,65113
80,20,345280,Silver,50601
3798,18,815420,Diamond,419
7035,23,467022,Gold,21801
1766,6,707149,Gold,22515
2265,15,835831,Silver,73924
9093,23,327921,Silver,52549
5767,22,424230,Silver,12266
6810,20,798554,Gold,58306
