code,name,city,country,timezone
ABP,Atkamba,,PG,Pacific/Port_Moresby
ABQ,Albuquerque International Sunport,Albuquerque,US,America/Denver
ABR,Aberdeen Municipal Airport,Aberdeen,US,America/Chicago
ABS,Abu Simbel,,EG,Africa/Cairo
ABT,Al-Aqiq Airport,Al Bahah,SA,Asia/Riyadh
ABU,Haliwen Airport,Atambua,ID,Asia/Makassar
ABV,Nnamdi Azikiwe International Airport,Madala,NG,Africa/Lagos
ABW,Abau,,PG,Pacific/Port_Moresby
ABX,Albury Airport,East Albury,AU,Australia/Sydney
ABY,Southwest Georgia Regional Airport,,US,America/New_York
ABZ,Aberdeen International Airport,Dyce,GB,Europe/London
ACA,Acapulco International Airport,10 de Abril,MX,America/Mexico_City
ACB,Antrim County,Bellaire,US,America/Detroit
ACC,Kotoka International Airport,Accra,GH,Africa/Accra
ACD,Acandi,,CO,America/Bogota
ACE,Lanzarote Airport,Tias,ES,Atlantic/Canary
ACF,Alaer Talimu Airport,Aral,CN,Asia/Urumqi
ACH,Altenrhein Airport,Rheineck,CH,Europe/Zurich
ACI,Alderney Airport,Beaumont-Hague,GB,Europe/Guernsey
ACJ,Anuradhapura,Anuradhapura,LK,Asia/Colombo
ACK,Nantucket Memorial Airport,Nantucket,US,America/New_York
ACL,Aguaclara,Sabanalarga,CO,America/Bogota
ACM,Arica,Pebas,CO,America/Bogota
ACN,International,,MX,America/Matamoros
ACO,Cobano Airport,Cobano,CR,America/Costa_Rica
ACP,Sahand,Bonab,IR,Asia/Tehran
ACR,Araracuara,,CO,America/Bogota
ACS,Achinsk,Achinsk,RU,Asia/Krasnoyarsk
ACT,Waco Municipal Airport,Gholson,US,America/Chicago
ACU,Achutupo,Portobelo,PA,America/Panama
ACV,Arcata-Eureka Airport,McKinleyville,US,America/Los_Angeles
ACX,Xingyi Airport,Xinzhou,CN,Asia/Shanghai
ACY,Atlantic City International Airport,Pomona,US,America/New_York
ACZ,Zabol Airport,Zabol,IR,Asia/Tehran
ADA,Adana Airport,Seyhan,TR,Europe/Istanbul
ADB,Izmir Adnan Menderes Airport,,TR,Europe/Istanbul
ADC,Andakombe,,PG,Pacific/Port_Moresby
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,Africa/Addis_Ababa
ADE,International,Khawr Maksar,YE,Asia/Aden
ADF,Adiyaman Airport,Adiyaman,TR,Europe/Istanbul
ADG,Lenawee County,Adrian,US,America/Detroit
ADH,Aldan,Aldan,RU,Asia/Yakutsk
ADI,Arandis,Arandis,NA,Africa/Windhoek
ADJ,Marka International Airport,Amman,JO,Asia/Amman
ADK,Adak Island Ns,,US,America/Adak
ADL,Adelaide Airport,Plympton,AU,Australia/Adelaide
ADM,Ardmore Municipal Airport,Dickson,US,America/Chicago
ADN,Andes,Los Andes,CO,America/Bogota
ADO,Andamooka,,AU,Australia/Adelaide
ADP,Ampara,,LK,Asia/Colombo
ADQ,Kodiak Benny Benson State Airport,,US,America/Anchorage
ADR,Andrews,Andrews,US,America/New_York
ADS,Addison Airport,Haltom City,US,America/Chicago
ADT,Ada Municipal,Ada,US,America/Chicago
ADU,Ardabil Airport,Namin,IR,Asia/Tehran
ADV,El Daein,El Daein,SD,Africa/Khartoum
ADW,Andrews AFB,Andrews AFB,US,America/New_York
ADX,Leuchars,Leuchars,GB,Europe/London
ADY,Alldays,,ZA,Africa/Johannesburg
ADZ,Gustavo Rojas Pinilla Airport,San Andres,CO,America/Bogota
AEA,Abemama Atoll,,KI,Pacific/Tarawa
AEB,Youjiang,Tianzhou,CN,Asia/Shanghai
AED,Aleneva,,US,America/Anchorage
AEE,Adareil Airport,,SS,Africa/Juba
AEG,Aek Godang,Padangsidempuan,ID,Asia/Jakarta
AEH,Abéché,Abeche,TD,Africa/Ndjamena
AEI,Algeciras,Algeciras,ES,Europe/Madrid
AEK,Aseki,,PG,Pacific/Port_Moresby
AEL,Albert Lea,Albert Lea,US,America/Chicago
AEM,Amgu,,RU,Asia/Vladivostok
AEO,Aioun El Atrouss,,MR,Africa/Nouakchott
AEP,Jorge Newbery Airport,Colegiales,AR,America/Argentina/Buenos_Aires
AEQ,Ar Horqin Airport,Tianshan,CN,Asia/Shanghai
AER,Sochi International Airport,Orel-Izumrud,RU,Europe/Moscow
AES,Vigra Alesund Airport,Valderoy,NO,Europe/Oslo
AET,Allakaket,,US,America/Anchorage
AEU,Abu Musa,,IR,Asia/Tehran
AEX,Alexandria International Airport,Alexandria,US,America/Chicago
AEY,Akureyri Airport,Akureyri,IS,Atlantic/Reykjavik
AFA,San Rafael Airport,San Rafael,AR,America/Argentina/Mendoza
AFD,Port Alfred,,ZA,Africa/Johannesburg
AFF,USAF Academy Airstrip,Cimarron Hills,US,America/Denver
AFI,Amalfi,Amalfi,CO,America/Bogota
AFK,Ampara Kondavattavan Tank Airport,Ampara,LK,Asia/Colombo
AFL,Alta Floresta Airport,,BR,America/Cuiaba
AFN,Municipal,Jaffrey,US,America/New_York
AFO,Municipal,Afton,US,America/Denver
AFR,Afore,,PG,Pacific/Port_Moresby
AFS,Zarafshan,Tomdibuloq,UZ,Asia/Samarkand
AFT,Afutara Aerodrome,,SB,Pacific/Guadalcanal
AFW,Fort Worth Alliance Airport,Haslet,US,America/Chicago
AFY,Afyon,Afyonkarahisar,TR,Europe/Istanbul
AFZ,Sabzevar,Sabzevar,IR,Asia/Tehran
AGA,Agadir Al Massira Airport,Inezgane,MA,Africa/Casablanca
AGB,Augsburg Airport,Rehling,DE,Europe/Berlin
AGC,Allegheny County Airport,Pleasant Hills,US,America/New_York
AGD,Anggi,Warmare,ID,Asia/Jayapura
AGE,Flugplatz,Wangerooge,DE,Europe/Berlin
AGF,La Garenne Airport,Le Passage,FR,Europe/Paris
AGG,Angoram,,PG,Pacific/Port_Moresby
AGH,Angelholm Helsingborg Airport,,SE,Europe/Stockholm
AGI,Wageningen,Wageningen,SR,America/Paramaribo
AGJ,Aguni,,JP,Asia/Tokyo
AGK,Kagua,,PG,Pacific/Port_Moresby
AGL,Wanigela,,PG,Pacific/Port_Moresby
AGM,Tasiilaq,,GL,America/Godthab
AGN,Angoon,,US,America/Juneau
AGO,Municipal,Magnolia,US,America/Chicago
AGP,Malaga Airport,,ES,Europe/Madrid
AGQ,Agrinion,Dhokimion,GR,Europe/Athens
AGR,Kheria,Agra,IN,Asia/Kolkata
AGS,Augusta Regional Airport,,US,America/New_York
AGT,Alejo Garcia Airport,Colonia Yguazu,PY,America/Asuncion
AGU,Aguascalients International Airport,Penuelas (El Cienegal),MX,America/Mexico_City
AGV,Acarigua,Araure,VE,America/Caracas
AGW,Agnew,,AU,Australia/Brisbane
AGX,Agatti Island Airport,Kavaratti,IN,Asia/Kolkata
AGZ,Aggeneys,Pofadder,ZA,Africa/Johannesburg
AHA,Naha AFB,,JP,Asia/Tokyo
AHB,Abha Regional Airport,,SA,Asia/Riyadh
AHC,Amedee AAF,Janesville,US,America/Los_Angeles
AHD,Downtown,Ardmore,US,America/Chicago
AHE,Ahe Airport,,PF,Pacific/Tahiti
AHF,Municipal,Arapahoe,US,America/Chicago
AHG,Agalega Island Airstrip,,MU,Indian/Mauritius
AHH,Municipal,Amery,US,America/Chicago
AHI,Amahai,Amahai,ID,Asia/Jayapura
AHJ,Hongyuan Airport,Qiongxi,CN,Asia/Shanghai
AHL,Aishalton,,GY,America/Guyana
AHM,Sumner Parker Field,Ashland,US,America/Los_Angeles
AHN,Athens-Ben Epps,Winterville,US,America/New_York
AHO,Alghero-Fertilia Airport,Alghero,IT,Europe/Rome
AHS,Ahuas,Wawina,HN,America/Tegucigalpa
AHU,Charif Al Idrissi Airport,Imzourene,MA,Africa/Casablanca
AHW,Saih Rawl,,OM,Asia/Tehran
AHY,Ambatolahy,,MG,Indian/Antananarivo
AHZ,Alpe D Huez,Huez,FR,Europe/Paris
AIA,Alliance Airport,Alliance,US,America/Denver
AIC,Airok,,MH,Pacific/Majuro
AID,Municipal,Anderson,US,America/Indiana/Indianapolis
AIE,Aiome,,PG,Pacific/Port_Moresby
AIF,Assis,Assis,BR,America/Sao_Paulo
AIG,Yalinga,,CF,Africa/Bangui
AIH,Aiambak,,PG,Pacific/Port_Moresby
AII,Alisabieh,'Ali Sabieh,DJ,Africa/Djibouti
AIK,Municipal,Aiken,US,America/New_York
AIL,Ailigandi,Ailigandi,PA,America/Panama
AIM,Ailuk Island,,MH,Pacific/Majuro
AIN,Wainwright,,US,America/Anchorage
AIO,Municipal,Atlantic,US,America/Chicago
AIP,Ailinglapalap Island,,MH,Pacific/Majuro
AIR,Aripuana,,BR,America/Cuiaba
AIS,Arorae Island,Kulia Village,KI,Pacific/Tarawa
AIT,Aitutaki Airport,,CK,Pacific/Rarotonga
AIU,Atiu Island,,CK,Pacific/Rarotonga
AIV,George Downer,Aliceville,US,America/Chicago
AIW,Ai-ais,,NA,Africa/Windhoek
AIY,Bader Field,,US,America/New_York
AIZ,Lee C Fine Memorial,,US,America/Chicago
AJA,Ajaccio Napoleon Bonaparte Airport,Ajaccio,FR,Europe/Paris
AJF,Jouf Airport,Sakaka,SA,Asia/Riyadh
AJI,Agri Airport,Hamur,TR,Europe/Istanbul
AJJ,Akjoujt,Akjoujt,MR,Africa/Nouakchott
AJK,Araak,Arak,IR,Asia/Tehran
AJL,Aizawl Airport,Sairang,IN,Asia/Kolkata
AJN,Ouani,Ouani,KM,Indian/Comoro
AJR,Arvidsjaur Airport,Arvidsjaur,SE,Europe/Stockholm
AJS,Abreojos,Bahia Asuncion,MX,America/Mazatlan
AJU,Aracaju Airport,Aracaju,BR,America/Maceio
AJY,Agades,Agadez,NE,Africa/Niamey
AKA,Ankang,Ankang,CN,Asia/Chongqing
AKB,Atka,,US,America/Adak
AKC,Fulton International,Sawyerwood,US,America/New_York
AKD,Akola,Akola,IN,Asia/Kolkata
AKE,Akieni,,GA,Africa/Libreville
AKF,Kufrah,Al Jawf,LY,Africa/Tripoli
AKG,Anguganak,,PG,Pacific/Port_Moresby
AKH,Prince Sultan Air Base,Ad Dilam,SA,Asia/Riyadh
AKI,Akiak,,US,America/Anchorage
AKJ,Asahikawa Airport,Asahikawa,JP,Asia/Tokyo
AKK,Akhiok SPB,,US,America/Anchorage
AKL,Auckland Airport,Mangere,NZ,Pacific/Auckland
AKM,Zakouma,,TD,Africa/Ndjamena
AKN,King Salmon Airport,,US,America/Anchorage
AKO,Colorado Plains Regional Airport,Akron,US,America/Denver
AKP,Anaktuvuk,,US,America/Anchorage
AKQ,Gunung Batin,Menggala,ID,Asia/Jakarta
AKR,Akure,Owena,NG,Africa/Lagos
AKS,Gwaunaru'u,,SB,Pacific/Guadalcanal
AKT,Raf Akrotiri,Kolossi,CY,Asia/Nicosia
AKU,Aksu Airport,,CN,Asia/Shanghai
AKV,Akulivik,,CA,America/Iqaluit
AKW,Aghajari,Omidiyeh,IR,Asia/Tehran
AKX,Aktyubinsk Airport,Aqtobe,KZ,Asia/Aqtobe
AKY,Civil Airport,,MM,Asia/Rangoon
ALA,Almaty Airport,Pervomayskiy,KZ,Asia/Almaty
ALB,Albany International Airport,Colonie,US,America/New_York
ALC,Alicante-Elche Airport,,ES,Europe/Madrid
ALD,Alerta,,PE,America/Lima
ALE,Alpine,Alpine,US,America/Chicago
ALF,Alta Airport,Alta,NO,Europe/Oslo
ALG,Houari Boumediene Airport,Dar el Beida,DZ,Africa/Algiers
ALH,Albany Airport,Albany,AU,Australia/Perth
ALI,International,Alice,US,America/Chicago
ALJ,Alexander Bay Airport,,ZA,Africa/Johannesburg
ALK,Asela,Huruta,ET,Africa/Addis_Ababa
ALL,Albenga,Albenga,IT,Europe/Rome
ALM,Municipal,Boles Acres,US,America/Denver
ALN,Alton,Bethalto,US,America/Chicago
ALO,Waterloo Airport,Cedar Falls,US,America/Chicago
ALP,Nejrab,Aleppo,SY,Asia/Damascus
ALQ,Federal,Alegrete,BR,America/Sao_Paulo
ALR,Alexandra,,NZ,Pacific/Auckland
ALS,Alamosa Municipal Airport,Alamosa,US,America/Denver
ALT,Alenquer,Alenquer,BR,America/Santarem
ALU,Alula,Bereeda,SO,Africa/Mogadishu
ALW,Walla Walla Airport,Walla Walla East,US,America/Los_Angeles
ALX,Thomas C Russell Field,Alexander City,US,America/Chicago
ALY,El Nohza,,EG,Africa/Cairo
ALZ,Alitak SPB,,US,America/Anchorage
AMA,Rick Husband Amarillo International Airport,,US,America/Chicago
AMB,Ambilobe,Ambilobe,MG,Indian/Antananarivo
AMC,Am Timan,Am Timan,TD,Africa/Ndjamena
AMD,Ahmedabad Airport,Naroda,IN,Asia/Kolkata
AME,Alto Molocue,,MZ,Africa/Maputo
AMF,Ama,,PG,Pacific/Port_Moresby
AMG,Amboin,,PG,Pacific/Port_Moresby
AMH,Arba Mintch Airport,Arba Minch',ET,Africa/Addis_Ababa
AMI,Selaparang,Mataram,ID,Asia/Makassar
AMJ,Almenara,Almenara,BR,America/Sao_Paulo
AMK,Animas Airpark,,US,America/Denver
AML,Puerto Armuellas,Puerto Armuelles,PA,America/Panama
AMM,Queen Alia International Airport,Al Jizah,JO,Asia/Amman
AMN,Gratiot Community,Alma,US,America/Detroit
AMO,Mao,Mao,TD,Africa/Ndjamena
AMP,Ampanihy,Ampanihy,MG,Indian/Antananarivo
AMQ,Pattimura Airport,Amahusu,ID,Asia/Jayapura
AMR,Arno,,MH,Pacific/Majuro
AMS,Amsterdam Airport Schiphol,Aalsmeer,NL,Europe/Amsterdam
AMT,Amata,,AU,Australia/Adelaide
AMU,Amanab,,PG,Pacific/Port_Moresby
AMV,Amderma,Vorgashor,RU,Europe/Moscow
AMW,Ames,Ames,US,America/Chicago
AMX,Ammaroo,,AU,Australia/Darwin
AMY,Ambatomainty,,MG,Indian/Antananarivo
AMZ,Ardmore,Red Hill,NZ,Pacific/Auckland
ANA,John Wayne International,Anaheim,US,America/Los_Angeles
ANB,Anniston Metropolitan,Oxford,US,America/Chicago
ANC,Ted Stevens Anchorage International Airport,,US,America/Anchorage
AND,Anderson,Centerville,US,America/New_York
ANE,Angers-Marce Airport,,FR,Europe/Paris
ANF,Cerro Moreno International Airport,Antofagasta,CL,America/Santiago
ANG,Brie-Champniers,Champniers,FR,Europe/Paris
ANH,Anuha Island Resort,,SB,Pacific/Guadalcanal
ANI,Aniak Airport,,US,America/Anchorage
ANJ,Zanaga,,CG,Africa/Brazzaville
ANK,Etimesgut,Batikent,TR,Europe/Istanbul
ANL,Andulo,Camacupa,AO,Africa/Luanda
ANM,Antsirabato,Antalaha,MG,Indian/Antananarivo
ANN,Annette Island,,US,America/Metlakatla
ANO,Angoche,,MZ,Africa/Maputo
ANP,Lee,Annapolis,US,America/New_York
ANQ,Tri-State Steuben County,Angola,US,America/Indiana/Indianapolis
ANR,Antwerp International Airport,Mortsel,BE,Europe/Brussels
ANS,Andahuaylas,San Jeronimo,PE,America/Lima
ANT,St Anton,Sankt Anton am Arlberg,AT,Europe/Vienna
ANU,V.C. Bird International Airport,Parham,AG,America/Antigua
ANV,Anvik Airport,,US,America/Anchorage
ANW,Ainsworth,Ainsworth,US,America/Chicago
ANX,Andenes Airport,Andenes,NO,Europe/Oslo
ANY,Anthony,Anthony,US,America/Chicago
ANZ,Angus Downs,,AU,Australia/Darwin
AOA,Aroa,,PG,Pacific/Port_Moresby
AOB,Annanberg,,PG,Pacific/Port_Moresby
AOC,Altenburg Nobitz,Altenburg,DE,Europe/Berlin
AOD,Abou Deia,,TD,Africa/Ndjamena
AOE,Anadolu University,,TR,Europe/Istanbul
AOG,Anshan Teng'ao Airport,Anshan,CN,Asia/Shanghai
AOH,Allen County,Lima,US,America/New_York
AOI,Ancona Falconara Airport,Falconara Marittima,IT,Europe/Rome
AOJ,Aomori Airport,,JP,Asia/Tokyo
AOK,Karpathos Airport,Karpathos,GR,Europe/Athens
AOL,Paso De Los Libres,Paso de los Libres,AR,America/Argentina/Cordoba
AOM,Adam Airport,,OM,Asia/Muscat
AON,Arona,,PG,Pacific/Port_Moresby
AOO,Altoona Airport,Martinsburg,US,America/New_York
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Alianza Cristiana,PE,America/Lima
AOR,Sultan Abdul Halim Airport,Jitra,MY,Asia/Kuala_Lumpur
AOS,Amook,,US,America/Anchorage
AOT,Corrado Gex,Chef-Lieu,IT,Europe/Rome
AOU,Attopeu,Attapu,LA,Asia/Vientiane
APA,Centennial Airport,,US,America/Denver
APB,Apolo,Mapiri,BO,America/La_Paz
APC,Napa County,American Canyon,US,America/Los_Angeles
APD,Arung Palakka Airport,,ID,Asia/Jakarta
APE,San Juan Aposento,,PE,America/Lima
APF,Naples Municipal Airport,Naples,US,America/New_York
APG,Phillips AAF,Aberdeen,US,America/New_York
APH,Camp A P Hill,Bowling Green,US,America/New_York
API,Apiay,Puerto Lopez,CO,America/Bogota
APJ,Ngari Burang Airport,Burang,CN,Asia/Shanghai
APK,Apataki,,PF,Pacific/Tahiti
APL,Nampula Airport,Nampula,MZ,Africa/Maputo
APN,Alpena County Regional Airport,Alpena,US,America/Detroit
APO,Apartado Airport,Carepa,CO,America/Bogota
APP,Asapa,,PG,Pacific/Port_Moresby
APQ,Arapiraca,Arapiraca,BR,America/Maceio
APR,April River,,PG,Pacific/Port_Moresby
APS,Anapolis,Anapolis,BR,America/Sao_Paulo
APT,Marion County,Powells Crossroads,US,America/Chicago
APU,Apucarana,,BR,America/Sao_Paulo
APV,Apple Valley,Apple Valley,US,America/Los_Angeles
APW,Faleolo Airport,Satapuala,WS,Pacific/Apia
APX,Arapongas,Apucarana,BR,America/Sao_Paulo
APY,Alto Parnaiba,Morros,BR,America/Fortaleza
APZ,Zapala,Zapala,AR,America/Argentina/Salta
AQA,Araraquara,Araraquara,BR,America/Sao_Paulo
AQB,Quiche Airport,Santa Cruz del Quiche,GT,America/Guatemala
AQG,Anqing Tianzhushan Airport,Anqing,CN,Asia/Shanghai
AQI,Qaisumah Airport,Al Qaysumah,SA,Asia/Riyadh
AQJ,King Hussein International Airport,Aqaba,JO,Asia/Amman
AQM,Ariquemes,Ariquemes,BR,America/Porto_Velho
AQP,Rodriguez Ballon International Airport,Arequipa,PE,America/Lima
AQS,Saqani,,FJ,Pacific/Fiji
AQY,Alyeska,,US,America/Anchorage
ARA,Acadiana Regional,Cade,US,America/Chicago
ARB,Municipal,Ann Arbor,US,America/Detroit
ARC,Arctic Village,,US,America/Anchorage
ARD,Alor Island Airport,Sifala,ID,Asia/Makassar
ARE,Arecibo,Bajadero,PR,America/Puerto_Rico
ARF,Acaricuara,,CO,America/Bogota
ARG,Walnut Ridge,Walnut Ridge,US,America/Chicago
ARH,Talagi Airport,Arkhangel'sk,RU,Europe/Moscow
ARI,Chacalluta Airport,Arica,CL,America/Santiago
ARJ,Arso,Arso,ID,Asia/Jayapura
ARK,Arusha Airport,Arusha,TZ,Africa/Dar_es_Salaam
ARL,Arly,,BF,Africa/Ouagadougou
ARM,Armidale Airport,Armidale,AU,Australia/Sydney
ARN,Stockholm Arlanda Airport,Marsta,SE,Europe/Stockholm
ARO,Arboletas,Arboletes,CO,America/Bogota
ARP,Aragip,,PG,Pacific/Port_Moresby
ARQ,Arauquita,Arauquita,CO,America/Caracas
ARR,Alto Rio Senguerr,Alto Rio Senguer,AR,America/Argentina/Catamarca
ARS,Aragarcas,Aragarcas,BR,America/Sao_Paulo
ART,Watertown Airport,Dexter,US,America/New_York
ARU,Aracatuba Airport,Aracatuba,BR,America/Sao_Paulo
ARV,Noble F. Lee,Lac du Flambeau,US,America/Chicago
ARW,Arad,Arad,RO,Europe/Bucharest
ARX,Asbury Park,Shark River Hills,US,America/New_York
ARY,Ararat,Ararat,AU,Australia/Melbourne
ARZ,N'zeto,,AO,Africa/Luanda
ASA,Assab International,,ER,Africa/Asmara
ASB,Ashgabat Airport,Ashgabat,TM,Asia/Ashgabat
ASC,Ascension,,BO,America/La_Paz
ASD,Andros Town,,BS,America/Nassau
ASE,Aspen Airport,Aspen,US,America/Denver
ASF,Astrakhan Airport,Yaksatovo,RU,Europe/Volgograd
ASG,Ashburton,Ashburton,NZ,Pacific/Auckland
ASH,Boire Field,Nashua,US,America/New_York
ASI,Saint Helena Airport,,SH,Atlantic/St_Helena
ASJ,Amami Airport,,JP,Asia/Tokyo
ASK,Yamoussoukro,Yamoussoukro,CI,Africa/Abidjan
ASL,Harrison County,Marshall,US,America/Chicago
ASM,Asmara International Airport,Asmara,ER,Africa/Asmara
ASN,Talladega,Talladega,US,America/Chicago
ASO,Asosa Airport,,ET,Africa/Addis_Ababa
ASP,Alice Springs Airport,,AU,Australia/Darwin
ASQ,Austin,,US,America/Los_Angeles
ASR,Kayseri Airport,Kayseri,TR,Europe/Istanbul
ASS,Arathusa Safari Lodge,,ZA,Africa/Johannesburg
AST,Astoria,Warrenton,US,America/Los_Angeles
ASU,Silvio Pettirossi International Airport,Limpio,PY,America/Asuncion
ASV,Amboseli,Namanga,KE,Africa/Nairobi
ASW,Aswan Airport,Aswan,EG,Africa/Cairo
ASX,Ashland,Ashland,US,America/Chicago
ASY,Ashley,Ashley,US,America/Chicago
ASZ,Asirim,,PG,Pacific/Port_Moresby
ATA,Anta,Anta,PE,America/Lima
ATB,Atbara,Atbara,SD,Africa/Khartoum
ATC,Arthur's Town,,BS,America/Nassau
ATD,Atoifi,,SB,Pacific/Guadalcanal
ATE,Antlers,Antlers,US,America/Chicago
ATF,Chachoan,San Miguel de Salcedo,EC,America/Guayaquil
ATG,Attock,Akora,PK,Asia/Karachi
ATH,Eleftherios Venizelos International Airport,Spata,GR,Europe/Athens
ATI,Artigas,Artigas,UY,America/Montevideo
ATJ,Antsirabe,Antsirabe,MG,Indian/Antananarivo
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,,US,America/Anchorage
ATL,Hartsfield-Jackson Atlanta International Airport,,US,America/New_York
ATM,Altamira Airport,Altamira,BR,America/Santarem
ATN,Namatanai,,PG,Pacific/Port_Moresby
ATO,Ohio University,Athens,US,America/New_York
ATP,Airstrip,,PG,Pacific/Port_Moresby
ATQ,Sri Guru Ram Dass Jee International Airport,Raja Sansi,IN,Asia/Kolkata
ATR,Mouakchott,Atar,MR,Africa/Nouakchott
ATS,Artesia,Artesia,US,America/Denver
ATT,Atmautluak Airport,,US,America/Nome
ATU,Casco Cove,,US,America/Adak
ATV,Ati,Ati,TD,Africa/Ndjamena
ATW,Outagamie County Regional Airport,Menasha,US,America/Chicago
ATX,Atbasar,Atbasar,KZ,Asia/Almaty
ATY,Watertown Airport,Watertown,US,America/Chicago
ATZ,Assiut Airport,Asyut,EG,Africa/Cairo
AUA,Reina Beatrix International Airport,Oranjestad,AW,America/Aruba
AUB,Itauba Airport,Itauba,BR,America/Cuiaba
AUC,Arauca Airport,Arauca,CO,America/Bogota
AUD,Augustus Downs,,AU,Australia/Brisbane
AUE,Abu Rudeis,,EG,Africa/Cairo
AUF,Auxerre Branches,Appoigny,FR,Europe/Paris
AUG,Augusta Airport,Augusta,US,America/New_York
AUH,Abu Dhabi International Airport,,AE,Asia/Dubai
AUI,Aua Island,,PG,Pacific/Port_Moresby
AUJ,Ambunti,,PG,Pacific/Port_Moresby
AUK,Alakanuk Airport,,US,America/Nome
AUL,Aur Island,Aur,MH,Pacific/Majuro
AUM,Austin,Austin,US,America/Chicago
AUN,Auburn,Auburn,US,America/Los_Angeles
AUO,Auburn-Opelika,Auburn,US,America/Chicago
AUP,Agaun,,PG,Pacific/Port_Moresby
AUQ,Hiva Oa Airport,,PF,Pacific/Marquesas
AUR,Aurillac Airport,Aurillac,FR,Europe/Paris
AUS,Austin-Bergstrom International Airport,Hornsby Bend,US,America/Chicago
AUT,Atauro,,ID,Asia/Dili
AUU,Aurukun Mission,,AU,Australia/Brisbane
AUV,Aumo,,PG,Pacific/Port_Moresby
AUW,Municipal,Schofield,US,America/Chicago
AUX,Araguaina Airport,Araguaina,BR,America/Araguaina
AUY,Aneityum,,VU,Pacific/Efate
AUZ,Municipal Airport,Aurora,US,America/Chicago
AVA,An Shun/Huang Guo Shu Airport,Anshun,CN,Asia/Chongqing
AVB,Aviano,Roveredo in Piano,IT,Europe/Rome
AVG,Auvergne,,AU,Australia/Darwin
AVI,Maximo Gomez,Ciro Redondo,CU,America/Havana
AVK,Arvaikheer,Arvayheer,MN,Asia/Ulaanbaatar
AVL,Asheville Regional Airport,Fletcher,US,America/New_York
AVN,Avignon-Caumont Airport,Noves,FR,Europe/Paris
AVO,Municipal,Avon Park,US,America/New_York
AVP,Wilkes-Barre/Scranton International Airport,Avoca,US,America/New_York
AVR,Alverca,Sobralinho,PT,Europe/Lisbon
AVU,Avu Avu,,SB,Pacific/Guadalcanal
AVV,Avalon Airport,Little River,AU,Australia/Melbourne
AVW,Avra Valley,Marana,US,America/Phoenix
AVX,Avalon Bay,,US,America/Los_Angeles
AWA,Awassa,Hawassa,ET,Africa/Addis_Ababa
AWB,Awaba Airport,Awaba,PG,Pacific/Port_Moresby
AWD,Aniwa,,VU,Pacific/Efate
AWE,Alowe,,GA,Africa/Libreville
AWK,Wake Island,,UM,Pacific/Wake
AWM,Municipal,West Memphis,US,America/Chicago
AWN,Alton Downs,,AU,Australia/Adelaide
AWP,Austral Downs Airport,,AU,Australia/Darwin
AWR,Awar,,PG,Pacific/Port_Moresby
AWZ,Ahwaz Airport,Ahvaz,IR,Asia/Tehran
