passID,fid,bookingDate,seatNumber,class,price,paymentStatus,checkInStatus
613,187,2025-01-27,37E,Economy,1331.07,Cancelled,Checked-in
6021,2705,2025-04-20,36D,Economy,786.72,Paid,Not Checked-in
2237,3088,2025-03-17,45E,Economy,1210.44,Paid,Checked-in
4051,1503,2025-05-01,16F,Economy,1303.97,Pending,Not Checked-in
83,4897,2025-01-16,32A,Business,894.48,Cancelled,Not Checked-in
711,3388,2025-03-21,2B,Business,531.6,Pending,Checked-in
5809,3073,2025-01-22,28D,Economy,152.13,Paid,Checked-in
9501,3737,2025-01-14,4B,Economy,1338.39,Paid,Checked-in
6729,388,2025-04-10,32D,First,505.16,Cancelled,Checked-in
5094,4488,2025-01-25,44D,Business,500.24,Pending,Checked-in
3672,230,2025-04-12,8C,Business,1301.12,Cancelled,Not Checked-in
547,1270,2025-01-07,12A,Business,555.23,Paid,Checked-in
7658,4357,2025-02-15,29E,Business,155.1,Cancelled,Checked-in
9640,2291,2025-01-30,41B,First,586.47,Cancelled,Not Checked-in
2159,1716,2025-03-27,38C,Business,170.88,Paid,Checked-in
7344,1208,2025-03-16,46D,Economy,1031.74,Pending,Checked-in
4373,3466,2025-04-20,37F,Economy,1007.93,Paid,Checked-in
632,2262,2025-02-12,4B,Economy,1189.73,Cancelled,Checked-in
265,3187,2025-02-09,37F,Economy,1173.65,Paid,Not Checked-in
5650,3761,2025-03-19,41B,Economy,177.37,Pending,Not Checked-in
6244,2447,2025-02-05,3B,First,1002.44,Pending,Checked-in
7915,95,2025-01-17,41B,First,938.9,Pending,Not Checked-in
7009,4742,2025-04-16,32E,First,94.33,Paid,Checked-in
6641,2512,2025-01-06,36B,Business,858.16,Paid,Checked-in
9967,4293,2025-01-12,14D,Economy,804.69,Paid,Checked-in
766,1764,2025-02-25,41E,Economy,508.36,Cancelled,Checked-in
248,3262,2025-03-05,48E,Economy,1162.51,Cancelled,Not Checked-in
2501,2195,2025-02-14,46B,Business,471.59,Pending,Checked-in
131,2629,2025-03-22,36A,First,847.33,Cancelled,Not Checked-in
8252,1571,2025-02-06,11E,Economy,1329.73,Paid,Checked-in
6221,3486,2025-03-09,1F,Economy,537.54,Cancelled,Checked-in
1670,1330,2025-04-12,49E,First,188.88,Cancelled,Checked-in
3375,4051,2025-02-16,39B,Business,1039.88,Pending,Checked-in
8193,4899,2025-02-03,34D,First,877.62,Paid,Not Checked-in
7353,4117,2025-03-27,12C,Business,1084.46,Cancelled,Checked-in
3058,3663,2025-04-12,30E,First,1402.29,Pending,Checked-in
3519,4323,2025-02-09,46F,Business,277.8,Cancelled,Checked-in
1169,197,2025-01-12,26D,Economy,1236.16,Pending,Checked-in
6658,1501,2025-01-12,38F,First,339.5,Cancelled,Checked-in
7517,3651,2025-01-11,36C,First,130.44,Pending,Not Checked-in
5108,1191,2025-04-09,37C,First,354.19,Paid,Not Checked-in
6810,1206,2025-03-04,4F,Business,947.5,Cancelled,Checked-in
545,4364,2025-01-01,42C,Business,796.4,Cancelled,Checked-in
7881,1844,2025-02-23,12E,Business,372.59,Paid,Not Checked-in
9977,1426,2025-01-16,41B,First,724.89,Paid,Not Checked-in
1956,2436,2025-04-06,10C,First,1075.76,Pending,Checked-in
8058,4062,2025-04-15,29D,First,1028.65,Pending,Checked-in
580,280,2025-01-07,47B,Business,889.52,Paid,Checked-in
7276,3340,2025-02-11,28E,Business,299.48,Paid,Checked-in
6295,4011,2025-02-03,29C,First,710.09,Pending,Checked-in
571,2028,2025-02-15,29A,Economy,476.4,Paid,Checked-in
4429,2905,2025-02-10,47C,First,238.8,Pending,Not Checked-in
366,4584,2025-02-12,50A,Business,560.54,Cancelled,Checked-in
8881,2975,2025-04-08,38B,Economy,354.4,Cancelled,Not Checked-in
4645,1101,2025-04-26,9F,Economy,1108.6,Cancelled,Checked-in
760,816,2025-04-24,49D,First,370.53,Cancelled,Not Checked-in
9402,1752,2025-04-30,21C,Economy,849.93,Pending,Checked-in
8286,1159,2025-01-29,11A,Economy,1014.05,Paid,Not Checked-in
174,1523,2025-01-20,27C,First,1413.64,Cancelled,Checked-in
7609,921,2025-02-24,9B,First,231.75,Cancelled,Not Checked-in
1186,3666,2025-04-05,41D,Business,1264.11,Pending,Not Checked-in
8762,1860,2025-04-28,24D,Economy,1021.34,Paid,Not Checked-in
8610,4873,2025-04-09,35A,Business,656.97,Pending,Not Checked-in
309,2711,2025-03-10,40E,Economy,1208.19,Pending,Not Checked-in
2337,4402,2025-02-03,16E,Economy,1119.0,Paid,Checked-in
2217,2466,2025-02-10,36A,Economy,1426.82,Pending,Checked-in
2406,2889,2025-03-13,48F,Business,1307.62,Cancelled,Checked-in
120,1445,2025-02-09,21C,Economy,315.19,Pending,Not Checked-in
7174,3058,2025-02-23,23A,First,541.8,Pending,Not Checked-in
2361,159,2025-03-25,15F,Business,1289.97,Cancelled,Checked-in
8265,2476,2025-02-28,4E,Economy,569.96,Cancelled,Checked-in
5115,2792,2025-03-30,31A,Business,600.96,Pending,Not Checked-in
9067,1399,2025-02-13,38F,Business,949.49,Paid,Checked-in
5040,549,2025-02-13,3F,Economy,274.46,Cancelled,Checked-in
7624,3583,2025-03-13,36E,Business,341.47,Paid,Checked-in
5448,2625,2025-03-28,13E,Economy,462.33,Cancelled,Checked-in
1332,3426,2025-02-04,30B,First,249.64,Paid,Not Checked-in
9027,4952,2025-04-29,38C,First,788.11,Pending,Checked-in
7101,2814,2025-03-23,49F,Economy,801.43,Cancelled,Not Checked-in
6026,2736,2025-04-23,36C,Economy,1162.48,Pending,Not Checked-in
3682,3435,2025-02-20,28B,Economy,241.76,Pending,Checked-in
1968,4815,2025-01-09,42F,Business,405.19,Pending,Checked-in
515,3771,2025-02-26,15C,First,1174.48,Paid,Checked-in
3662,928,2025-01-26,28C,Business,1414.6,Pending,Not Checked-in
6206,4286,2025-03-19,31A,Business,341.28,Paid,Not Checked-in
3982,4012,2025-03-21,16C,First,197.92,Cancelled,Not Checked-in
7592,3774,2025-01-30,14F,Business,760.9,Cancelled,Not Checked-in
1719,4773,2025-03-30,32A,First,924.51,Paid,Not Checked-in
3191,984,2025-02-08,20A,Economy,561.63,Cancelled,Not Checked-in
2661,2070,2025-02-03,3C,Business,998.28,Pending,Not Checked-in
2054,2231,2025-01-30,17C,Economy,937.44,Pending,Checked-in
5848,3740,2025-04-12,50D,Business,1337.74,Pending,Not Checked-in
4365,2105,2025-01-05,45D,First,275.64,Cancelled,Not Checked-in
5214,4428,2025-01-09,43F,Business,496.96,Pending,Checked-in
389,1831,2025-04-14,17F,First,308.79,Cancelled,Not Checked-in
2033,2693,2025-01-23,24B,First,1438.21,Paid,Not Checked-in
4700,1852,2025-04-22,47A,First,57.53,Paid,Checked-in
1567,4191,2025-02-21,42E,Business,283.78,Cancelled,Not Checked-in
449,1083,2025-02-03,47F,First,847.69,Pending,Checked-in
4695,802,2025-03-20,12D,Business,965.57,Cancelled,Not Checked-in
2587,4357,2025-05-01,4C,Business,1429.91,Cancelled,Checked-in
3084,3891,2025-01-31,47A,First,431.4,Pending,Checked-in
279,4714,2025-03-25,45C,Economy,1342.21,Paid,Not Checked-in
7783,4380,2025-02-28,1E,Economy,766.48,Paid,Checked-in
945,4168,2025-01-24,16A,First,400.8,Cancelled,Not Checked-in
7702,4788,2025-03-20,37D,Business,1426.99,Paid,Not Checked-in
642,3478,2025-04-09,13F,Business,678.54,Pending,Checked-in
5639,101,2025-01-09,46C,First,975.13,Pending,Checked-in
1471,4423,2025-02-01,22D,Business,942.66,Cancelled,Checked-in
3065,1604,2025-02-26,44D,First,350.01,Paid,Not Checked-in
2642,4219,2025-03-11,6F,Economy,454.74,Paid,Not Checked-in
7323,4047,2025-01-26,10F,First,876.64,Pending,Checked-in
3664,1030,2025-03-03,37B,Economy,688.67,Cancelled,Checked-in
7948,4492,2025-04-15,32C,Economy,1315.91,Pending,Checked-in
5681,4634,2025-02-24,48F,First,1160.68,Cancelled,Checked-in
8014,3906,2025-04-18,30A,Economy,369.71,Pending,Not Checked-in
9191,4701,2025-03-12,49A,First,1228.26,Paid,Not Checked-in
8143,3298,2025-01-13,48D,First,1185.59,Paid,Not Checked-in
9543,1532,2025-01-01,2C,Economy,1280.59,Cancelled,Not Checked-in
9804,2869,2025-03-21,50C,Economy,188.36,Cancelled,Checked-in
5114,619,2025-01-03,5F,Economy,1497.92,Cancelled,Checked-in
2447,3590,2025-02-21,26F,First,484.71,Cancelled,Checked-in
8578,4092,2025-03-04,20C,First,1090.56,Pending,Not Checked-in
1122,3053,2025-03-28,40E,Business,688.38,Paid,Not Checked-in
2772,3309,2025-03-20,7E,Business,707.1,Paid,Checked-in
4185,960,2025-01-01,9F,Economy,1203.32,Cancelled,Checked-in
3767,4320,2025-03-05,40B,First,464.12,Paid,Checked-in
3655,1235,2025-02-23,20C,First,515.55,Paid,Checked-in
6409,1674,2025-04-24,36B,Economy,1370.62,Pending,Not Checked-in
4882,1901,2025-04-17,49B,First,91.81,Paid,Checked-in
6978,4674,2025-03-24,48B,First,1285.45,Pending,Not Checked-in
9266,970,2025-01-10,15F,First,504.8,Paid,Not Checked-in
3134,1975,2025-04-15,1A,Business,413.05,Pending,Not Checked-in
5683,4199,2025-01-21,26A,Business,164.75,Paid,Not Checked-in
2173,773,2025-04-20,16D,First,205.11,Pending,Checked-in
7587,4476,2025-04-04,10C,Economy,105.75,Paid,Not Checked-in
2845,4849,2025-01-10,9D,Business,1241.06,Paid,Checked-in
5416,2173,2025-03-25,9A,Economy,1028.53,Paid,Not Checked-in
1684,1614,2025-04-29,14D,First,421.2,Cancelled,Not Checked-in
3653,3952,2025-04-24,13C,Economy,520.42,Paid,Not Checked-in
7064,2916,2025-01-30,36A,First,559.78,Cancelled,Checked-in
3873,2184,2025-04-10,29A,Business,1451.68,Paid,Checked-in
1018,3229,2025-04-21,13A,Business,839.85,Cancelled,Not Checked-in
3607,4451,2025-03-08,44D,First,1198.89,Pending,Not Checked-in
4459,3066,2025-01-02,44D,First,407.95,Pending,Not Checked-in
3929,1977,2025-02-04,22B,Business,1163.45,Paid,Checked-in
8387,53,2025-04-02,46C,First,1196.12,Paid,Checked-in
6108,2790,2025-01-29,17A,Economy,1115.29,Pending,Checked-in
1568,2476,2025-03-18,37D,First,981.4,Pending,Checked-in
2196,3162,2025-01-27,34D,Economy,1290.88,Cancelled,Not Checked-in
2602,2055,2025-04-03,5F,Economy,907.56,Paid,Checked-in
1396,1568,2025-01-17,21B,Business,1135.38,Pending,Checked-in
7696,3388,2025-02-11,36C,First,1140.8,Pending,Not Checked-in
1365,1605,2025-04-02,6E,First,174.35,Paid,Not Checked-in
1514,3148,2025-03-11,15A,Business,1078.66,Paid,Checked-in
2749,1096,2025-03-29,2C,First,902.17,Pending,Checked-in
8537,4797,2025-03-23,17B,Business,424.63,Pending,Not Checked-in
2513,1649,2025-03-22,27F,Business,1442.93,Pending,Not Checked-in
9496,399,2025-02-28,15F,Business,592.18,Pending,Not Checked-in
8591,1165,2025-04-07,38B,First,952.49,Pending,Not Checked-in
4348,2047,2025-03-17,1F,Business,54.02,Pending,Not Checked-in
321,726,2025-04-20,47E,Business,124.55,Cancelled,Checked-in
8446,2769,2025-03-26,35A,First,736.47,Cancelled,Not Checked-in
382,3215,2025-02-24,25A,Economy,449.26,Cancelled,Not Checked-in
805,3868,2025-02-21,24D,Business,295.89,Cancelled,Not Checked-in
2226,4505,2025-02-07,4C,Economy,708.39,Paid,Checked-in
7077,2741,2025-02-19,1E,Economy,1412.31,Paid,Checked-in
4321,3348,2025-04-11,45C,Business,593.98,Pending,Checked-in
7612,270,2025-01-20,41C,Economy,731.72,Cancelled,Not Checked-in
6553,3466,2025-02-09,49D,Business,362.08,Cancelled,Checked-in
2053,2618,2025-01-12,4A,First,272.68,Cancelled,Not Checked-in
2924,444,2025-01-20,27C,First,1412.39,Cancelled,Checked-in
5995,4469,2025-01-08,27D,Economy,494.72,Pending,Checked-in
2684,1868,2025-01-02,21E,Economy,1283.69,Paid,Not Checked-in
4952,1886,2025-02-07,39E,First,379.73,Cancelled,Checked-in
7930,1351,2025-01-20,49A,Economy,1304.16,Paid,Checked-in
7286,3203,2025-01-15,40A,Business,1448.66,Cancelled,Not Checked-in
6721,4420,2025-03-04,12E,Business,661.48,Pending,Not Checked-in
2684,4648,2025-03-14,16E,Economy,945.12,Cancelled,Not Checked-in
4158,3098,2025-01-03,21A,Business,732.68,Pending,Not Checked-in
1857,532,2025-01-24,19D,Economy,1421.74,Pending,Not Checked-in
5553,658,2025-02-11,13B,Business,368.64,Paid,Checked-in
294,3121,2025-01-27,22E,First,764.92,Cancelled,Not Checked-in
7349,2741,2025-02-21,26C,Economy,1275.36,Paid,Not Checked-in
856,3811,2025-01-28,24B,First,567.22,Pending,Checked-in
8048,3643,2025-01-30,28D,Business,482.97,Paid,Not Checked-in
5229,2751,2025-03-29,27C,Business,90.56,Paid,Checked-in
7681,4269,2025-04-26,14F,First,68.36,Cancelled,Checked-in
7986,260,2025-01-05,21D,First,1473.35,Paid,Not Checked-in
8767,3633,2025-02-12,43A,First,94.09,Pending,Not Checked-in
7196,203,2025-01-22,10A,Business,176.27,Pending,Checked-in
1802,3882,2025-02-04,31B,Business,363.25,Pending,Checked-in
970,2389,2025-02-09,24D,First,1013.1,Cancelled,Checked-in
1421,1016,2025-03-23,1B,Economy,1044.33,Pending,Checked-in
4011,371,2025-04-21,22E,Business,1383.44,Paid,Checked-in
6111,2716,2025-02-25,22E,First,854.25,Paid,Not Checked-in
481,2747,2025-01-26,42B,First,1044.7,Paid,Not Checked-in
3537,494,2025-01-08,18F,First,464.18,Cancelled,Not Checked-in
5015,3915,2025-01-05,49B,First,690.98,Paid,Not Checked-in
7360,1996,2025-02-10,2C,Economy,575.58,Paid,Not Checked-in
9207,4363,2025-04-26,26B,Economy,1294.41,Paid,Not Checked-in
1102,3954,2025-04-13,21C,First,437.0,Cancelled,Checked-in
4011,182,2025-04-05,41B,First,1478.27,Paid,Not Checked-in
3344,4365,2025-02-07,15F,Economy,373.58,Cancelled,Checked-in
543,3350,2025-01-12,27F,Economy,1411.72,Paid,Checked-in
1976,1772,2025-03-20,41D,Business,1209.07,Pending,Checked-in
9594,1469,2025-02-05,38B,Business,1166.75,Pending,Not Checked-in
1366,919,2025-01-05,16E,Business,1338.32,Paid,Not Checked-in
3349,1608,2025-01-24,12C,First,1201.77,Cancelled,Checked-in
1950,2028,2025-04-17,19C,Business,891.93,Paid,Not Checked-in
1790,2814,2025-01-05,33A,Business,623.07,Cancelled,Not Checked-in
3746,2757,2025-03-15,10C,Business,1049.65,Paid,Not Checked-in
5144,1376,2025-02-09,8F,Business,321.2,Pending,Not Checked-in
1697,1523,2025-04-04,5E,First,460.63,Cancelled,Checked-in
3836,1660,2025-03-31,34F,Economy,944.62,Cancelled,Not Checked-in
1457,698,2025-03-28,41D,Economy,1454.76,Paid,Checked-in
6104,655,2025-01-24,37A,First,1178.51,Cancelled,Checked-in
8420,2164,2025-03-01,17C,First,291.36,Paid,Not Checked-in
6551,1367,2025-02-23,17F,Business,1115.3,Pending,Not Checked-in
9206,3762,2025-04-02,32B,Economy,874.91,Pending,Not Checked-in
3428,2169,2025-03-12,21A,Economy,1373.59,Pending,Not Checked-in
9744,510,2025-04-19,44B,Economy,397.23,Pending,Not Checked-in
7656,4860,2025-03-14,8C,First,597.53,Paid,Checked-in
17,620,2025-04-07,11E,Business,1468.36,Paid,Not Checked-in
9015,1871,2025-03-02,12B,First,750.6,Pending,Checked-in
5371,3265,2025-01-15,35E,Business,1259.03,Cancelled,Checked-in
2176,1897,2025-02-24,39F,Business,301.62,Paid,Not Checked-in
5142,3520,2025-02-20,33E,Business,1491.96,Paid,Not Checked-in
9384,2334,2025-02-16,16D,Business,677.58,Paid,Checked-in
9037,879,2025-01-04,47B,Economy,1462.14,Pending,Not Checked-in
8678,1451,2025-04-13,5D,Economy,380.64,Pending,Checked-in
6845,710,2025-04-12,39B,Business,759.69,Cancelled,Not Checked-in
4251,3074,2025-01-29,8E,Business,1096.67,Paid,Checked-in
7812,2820,2025-02-14,6C,Economy,1458.87,Pending,Checked-in
4556,1455,2025-04-10,47C,Business,1498.78,Pending,Checked-in
8267,2138,2025-01-25,46E,First,348.27,Cancelled,Not Checked-in
1182,3332,2025-02-06,17C,Business,495.3,Cancelled,Checked-in
8260,3407,2025-01-14,10E,Business,1260.91,Paid,Not Checked-in
5272,2987,2025-04-13,39A,Business,773.16,Cancelled,Not Checked-in
2236,1744,2025-01-24,6A,First,427.77,Pending,Checked-in
420,740,2025-01-10,17D,First,1445.66,Cancelled,Not Checked-in
7189,1317,2025-01-07,9F,Economy,1204.47,Cancelled,Not Checked-in
884,3931,2025-04-07,49E,Economy,647.86,Paid,Checked-in
1444,1895,2025-02-23,17F,Business,854.41,Paid,Checked-in
3312,3933,2025-03-09,1C,First,158.14,Pending,Not Checked-in
3872,2,2025-02-02,21D,First,895.37,Cancelled,Checked-in
5831,1029,2025-03-20,50E,Business,174.38,Cancelled,Not Checked-in
2947,4321,2025-02-11,19F,Business,346.7,Cancelled,Checked-in
9434,422,2025-02-04,30B,First,1465.77,Paid,Not Checked-in
6664,4649,2025-02-05,2A,Business,1095.13,Paid,Checked-in
8686,3678,2025-01-21,5E,First,999.37,Paid,Not Checked-in
27,2791,2025-02-17,21F,Business,422.37,Paid,Not Checked-in
5024,154,2025-02-25,4D,Business,111.88,Pending,Not Checked-in
5905,960,2025-04-27,8F,Economy,447.56,Paid,Checked-in
3154,3332,2025-01-08,4A,First,1489.28,Pending,Not Checked-in
6941,318,2025-03-29,17E,First,1401.29,Cancelled,Not Checked-in
5184,544,2025-01-10,10E,First,225.44,Paid,Checked-in
8718,1218,2025-04-22,42C,Business,507.15,Pending,Not Checked-in
5271,1809,2025-01-27,34F,Business,1108.46,Pending,Checked-in
5330,3351,2025-04-23,10D,First,98.27,Cancelled,Not Checked-in
8835,3516,2025-01-17,20E,Business,1457.65,Pending,Not Checked-in
4139,2555,2025-02-01,9B,Economy,1322.66,Cancelled,Not Checked-in
2768,3040,2025-04-01,13E,Economy,362.23,Paid,Not Checked-in
7563,1715,2025-02-16,43A,Business,142.42,Cancelled,Not Checked-in
1280,897,2025-03-19,49B,Business,1116.37,Pending,Checked-in
6874,2166,2025-01-16,32A,First,1041.17,Cancelled,Not Checked-in
5422,3894,2025-04-13,29C,Business,1182.42,Paid,Not Checked-in
9837,3087,2025-03-04,10E,Business,689.8,Pending,Not Checked-in
4706,1502,2025-01-14,6E,First,766.49,Cancelled,Not Checked-in
155,3684,2025-03-29,39B,Business,984.88,Cancelled,Not Checked-in
5215,881,2025-01-25,21F,Economy,113.41,Paid,Not Checked-in
705,3646,2025-04-05,46C,Business,1086.4,Pending,Not Checked-in
5916,4281,2025-03-03,47D,Business,1242.24,Cancelled,Not Checked-in
8291,2269,2025-05-01,21A,Business,380.12,Paid,Not Checked-in
3057,2719,2025-04-05,38E,Business,1117.58,Pending,Checked-in
2809,4602,2025-04-11,32C,First,734.6,Cancelled,Checked-in
5278,2421,2025-01-11,39A,First,1233.72,Pending,Checked-in
4421,673,2025-02-12,50B,First,649.76,Paid,Checked-in
8896,624,2025-01-02,49E,First,1129.18,Cancelled,Checked-in
211,1185,2025-01-10,37E,First,423.61,Paid,Checked-in
4812,3023,2025-01-20,14B,Business,241.65,Pending,Checked-in
8337,4481,2025-02-09,31B,First,1491.97,Pending,Checked-in
9897,4395,2025-04-28,8B,Business,516.12,Cancelled,Checked-in
5132,1019,2025-04-06,15E,Business,1361.37,Pending,Checked-in
3228,1486,2025-04-27,12D,Economy,925.05,Cancelled,Not Checked-in
3652,2588,2025-03-09,10E,Business,315.51,Paid,Checked-in
5081,3927,2025-01-15,27E,Business,1434.31,Pending,Checked-in
6532,3185,2025-03-08,32B,Economy,495.57,Cancelled,Checked-in
5832,3754,2025-02-13,16E,First,304.81,Cancelled,Checked-in
8437,1828,2025-01-06,31A,Business,779.94,Paid,Checked-in
4503,48,2025-01-02,48F,First,1145.75,Pending,Checked-in
1298,4786,2025-02-21,4E,Economy,214.42,Pending,Checked-in
2764,3203,2025-01-30,12F,Business,652.94,Pending,Checked-in
6631,2124,2025-01-28,27F,Economy,638.01,Paid,Checked-in
4003,1170,2025-04-12,21E,First,451.52,Pending,Not Checked-in
3046,600,2025-04-04,27A,Business,266.08,Pending,Checked-in
5994,749,2025-02-24,35D,Business,620.57,Pending,Checked-in
7317,1612,2025-02-23,43D,First,634.37,Cancelled,Not Checked-in
9400,257,2025-03-20,3C,Economy,1445.66,Cancelled,Not Checked-in
5565,4524,2025-01-15,40E,First,198.31,Pending,Not Checked-in
3603,955,2025-01-26,3D,First,526.38,Cancelled,Checked-in
430,1293,2025-03-30,20B,First,1019.99,Pending,Checked-in
484,55,2025-01-19,28C,Economy,855.36,Pending,Not Checked-in
2852,2569,2025-04-24,15C,First,1215.48,Paid,Not Checked-in
8804,2541,2025-01-25,43A,Business,975.77,Pending,Checked-in
5597,232,2025-03-09,43B,Economy,1287.37,Pending,Checked-in
7500,4705,2025-03-21,2E,First,1095.4,Cancelled,Not Checked-in
6607,4689,2025-04-23,25D,First,295.98,Cancelled,Not Checked-in
4486,2559,2025-04-15,43E,First,851.62,Pending,Not Checked-in
8547,1912,2025-03-07,36E,Business,858.66,Paid,Checked-in
1496,1212,2025-03-22,46E,Economy,992.93,Pending,Not Checked-in
8316,4165,2025-05-01,10B,Economy,895.84,Paid,Not Checked-in
5810,750,2025-02-22,44E,Economy,935.33,Pending,Not Checked-in
9677,4975,2025-04-16,5C,Economy,260.97,Pending,Not Checked-in
3517,2447,2025-01-05,47E,First,911.36,Cancelled,Not Checked-in
2245,3838,2025-01-08,8B,First,1055.68,Pending,Not Checked-in
4861,2060,2025-04-30,2C,Business,606.97,Cancelled,Not Checked-in
4293,4011,2025-03-25,14E,Economy,592.22,Pending,Not Checked-in
7634,368,2025-04-14,47A,First,78.71,Cancelled,Checked-in
5193,3200,2025-04-15,20D,Economy,226.3,Paid,Not Checked-in
6082,4665,2025-03-20,2F,Business,672.24,Cancelled,Checked-in
6604,3951,2025-04-15,21E,Business,1185.78,Cancelled,Not Checked-in
7912,1896,2025-02-03,49B,Business,919.44,Pending,Checked-in
4628,12,2025-01-05,50C,Economy,698.51,Cancelled,Checked-in
2630,1352,2025-02-01,13A,First,858.45,Paid,Not Checked-in
3676,4553,2025-02-26,22F,First,304.06,Cancelled,Checked-in
6869,1754,2025-03-23,47C,First,811.47,Pending,Not Checked-in
1081,4295,2025-02-10,45A,Business,156.96,Cancelled,Checked-in
6539,4501,2025-01-15,50D,Business,180.96,Cancelled,Checked-in
3428,4579,2025-04-21,18F,First,1092.73,Cancelled,Not Checked-in
9806,2917,2025-02-15,13A,Economy,820.76,Cancelled,Checked-in
4178,1919,2025-01-19,19D,Economy,969.92,Pending,Checked-in
6666,4096,2025-01-21,25D,Business,1443.39,Paid,Not Checked-in
1236,3354,2025-03-16,35B,Economy,697.65,Paid,Checked-in
6412,2015,2025-03-07,44A,Business,1320.01,Pending,Checked-in
1202,3670,2025-01-09,28E,Economy,253.67,Paid,Not Checked-in
7798,38,2025-01-01,39B,Economy,314.32,Paid,Checked-in
8796,3512,2025-03-25,39C,First,1141.71,Paid,Checked-in
499,965,2025-03-08,12B,Economy,660.65,Pending,Not Checked-in
7957,1541,2025-02-21,25F,Business,1216.23,Pending,Not Checked-in
6988,4802,2025-02-25,21B,Economy,1118.0,Paid,Checked-in
5877,1333,2025-02-13,8D,First,932.26,Paid,Not Checked-in
3198,2192,2025-04-08,37B,Business,1401.46,Pending,Not Checked-in
8267,737,2025-03-28,7E,Business,717.05,Pending,Not Checked-in
7640,1461,2025-03-05,18E,First,531.92,Cancelled,Not Checked-in
3514,2143,2025-04-15,37E,Economy,638.08,Paid,Checked-in
1137,4360,2025-03-06,9F,Economy,242.99,Cancelled,Checked-in
9582,3140,2025-01-23,45F,Business,308.03,Paid,Not Checked-in
9335,2286,2025-03-29,39D,Business,82.18,Pending,Checked-in
1921,2978,2025-01-05,43F,Economy,1037.87,Pending,Not Checked-in
7151,4111,2025-01-16,20D,Economy,1349.92,Cancelled,Checked-in
3874,2658,2025-04-21,11D,Business,887.19,Paid,Not Checked-in
6373,1148,2025-01-26,38E,Business,1072.52,Cancelled,Not Checked-in
9168,3342,2025-01-01,34F,First,131.18,Pending,Checked-in
6406,220,2025-04-21,5C,Economy,970.69,Paid,Checked-in
1913,2796,2025-02-27,42A,Economy,503.68,Pending,Not Checked-in
1248,790,2025-04-04,15D,First,777.8,Pending,Checked-in
9178,2847,2025-01-22,46D,Economy,453.49,Pending,Checked-in
5422,2060,2025-02-18,5F,Economy,56.59,Cancelled,Checked-in
4974,566,2025-04-16,37C,Economy,1213.36,Cancelled,Checked-in
8230,4889,2025-01-08,10F,First,1088.14,Cancelled,Checked-in
2510,1724,2025-02-17,35C,Economy,1414.91,Paid,Not Checked-in
9836,415,2025-01-19,23D,First,706.73,Pending,Checked-in
3409,2632,2025-04-03,26C,First,730.53,Cancelled,Not Checked-in
