pilotID,fid,role
855,4885,First Officer
483,706,Captain
73,1720,First Officer
96,3064,First Officer
40,4875,First Officer
219,3226,First Officer
905,2420,Captain
922,4239,First Officer
784,1164,Captain
943,2262,Captain
796,1304,First Officer
913,600,First Officer
206,2439,Captain
325,1790,Captain
927,3836,First Officer
456,4731,First Officer
848,754,Captain
885,1881,Captain
212,117,First Officer
747,154,First Officer
686,502,Captain
457,4681,Captain
233,1744,First Officer
164,3948,First Officer
1000,75,Captain
101,1513,Captain
189,3862,First Officer
478,1820,Captain
321,869,First Officer
894,3370,First Officer
678,2512,Captain
917,1566,First Officer
477,690,First Officer
395,4080,Captain
602,1011,Captain
853,2188,First Officer
596,3014,First Officer
416,3312,First Officer
926,24,First Officer
951,3819,First Officer
728,2478,First Officer
413,3237,First Officer
707,3817,Captain
184,4049,First Officer
528,4468,First Officer
116,168,Captain
228,4808,First Officer
196,1575,Captain
485,1180,Captain
516,320,Captain
106,714,First Officer
372,1742,First Officer
582,547,First Officer
873,1932,First Officer
867,649,Captain
375,792,First Officer
537,1979,Captain
892,3006,Captain
343,1846,First Officer
186,3072,Captain
561,1628,Captain
670,4814,Captain
310,3773,First Officer
261,4245,First Officer
948,3992,First Officer
398,3361,First Officer
754,428,First Officer
438,3010,First Officer
732,3520,Captain
976,3138,First Officer
913,3955,First Officer
654,1060,First Officer
169,73,Captain
474,272,Captain
882,2481,Captain
315,384,First Officer
200,4844,Captain
292,4969,First Officer
974,653,First Officer
713,1983,Captain
235,1487,First Officer
601,3276,Captain
896,2231,Captain
793,1447,Captain
199,2340,Captain
792,829,First Officer
204,4225,Captain
340,2092,Captain
264,4372,Captain
234,2520,First Officer
512,1483,First Officer
898,1975,Captain
415,3179,First Officer
984,1115,Captain
775,3637,First Officer
445,3537,Captain
705,617,Captain
814,3085,First Officer
218,1839,First Officer
150,4785,Captain
850,1560,First Officer
787,4631,Captain
15,4178,First Officer
59,2036,First Officer
233,2774,First Officer
153,524,First Officer
388,1302,Captain
83,2739,First Officer
599,1274,Captain
919,3819,First Officer
964,3883,Captain
798,4217,Captain
753,4040,First Officer
505,3990,Captain
687,4433,First Officer
54,1813,First Officer
315,1611,Captain
75,2466,First Officer
570,93,Captain
786,4551,First Officer
886,652,First Officer
946,2489,Captain
604,1604,First Officer
506,785,Captain
538,2710,First Officer
840,1629,First Officer
318,3780,First Officer
462,3181,Captain
872,870,First Officer
430,834,First Officer
125,214,Captain
348,3574,First Officer
676,3978,Captain
477,613,Captain
506,3174,First Officer
759,4786,First Officer
203,2310,Captain
826,3843,Captain
777,2466,First Officer
599,616,First Officer
53,3383,Captain
214,4727,Captain
979,4259,Captain
454,592,Captain
392,4008,Captain
565,2591,Captain
5,914,First Officer
478,2554,Captain
120,3897,First Officer
577,2189,First Officer
574,4078,First Officer
647,4830,First Officer
969,4395,Captain
609,4554,First Officer
312,1351,Captain
616,1149,Captain
678,561,First Officer
145,2550,Captain
250,1817,First Officer
319,3427,First Officer
75,2435,First Officer
349,194,First Officer
122,2753,Captain
429,3031,First Officer
165,1230,First Officer
811,3313,Captain
106,3832,Captain
30,3602,First Officer
11,398,First Officer
342,860,Captain
906,1672,Captain
891,723,Captain
986,2376,Captain
218,4053,First Officer
316,4991,First Officer
808,816,Captain
407,4604,Captain
851,3807,First Officer
583,3314,First Officer
125,234,Captain
295,4504,First Officer
984,745,Captain
927,4292,First Officer
953,2050,First Officer
448,840,First Officer
886,3177,Captain
702,3406,First Officer
509,2394,First Officer
110,2605,First Officer
934,3995,First Officer
640,67,Captain
501,2045,First Officer
279,3319,Captain
558,1424,Captain
624,2107,Captain
132,1168,Captain
149,4786,First Officer
677,4442,Captain
437,4862,First Officer
703,1580,Captain
480,3572,First Officer
142,2154,Captain
429,2157,Captain
809,942,Captain
551,3123,First Officer
798,4668,Captain
764,2290,First Officer
758,4982,First Officer
770,1797,Captain
101,3909,Captain
860,2915,First Officer
783,1141,Captain
460,720,Captain
272,2736,Captain
52,2061,First Officer
10,867,Captain
7,567,Captain
210,967,Captain
470,2899,Captain
558,1764,Captain
743,4782,First Officer
203,1876,First Officer
222,2399,Captain
532,4069,Captain
778,2664,Captain
431,871,Captain
592,4575,First Officer
456,2473,Captain
211,2420,Captain
137,2670,Captain
360,1421,First Officer
792,781,Captain
807,827,First Officer
340,252,First Officer
50,4221,Captain
822,4274,First Officer
123,1064,First Officer
760,3342,First Officer
207,4468,First Officer
653,4716,First Officer
512,2510,First Officer
720,1299,First Officer
745,273,Captain
820,854,First Officer
206,695,Captain
378,3333,Captain
31,4844,Captain
500,2126,Captain
451,567,Captain
214,1787,First Officer
272,1087,Captain
610,818,Captain
817,850,Captain
934,2341,Captain
504,236,First Officer
860,3739,First Officer
532,435,Captain
949,3559,First Officer
515,4581,Captain
161,1457,Captain
971,4495,First Officer
189,4701,Captain
258,3373,First Officer
168,3843,First Officer
791,2547,First Officer
558,4995,Captain
723,2578,First Officer
368,2551,First Officer
746,3570,First Officer
365,4464,First Officer
704,836,Captain
2,2939,Captain
538,4951,First Officer
252,1072,Captain
568,4453,Captain
611,2137,Captain
896,713,Captain
868,1153,First Officer
389,3346,First Officer
140,2463,First Officer
127,2063,First Officer
699,3534,First Officer
376,1060,Captain
977,25,Captain
702,4252,Captain
853,2324,First Officer
680,3458,Captain
140,2537,First Officer
868,2506,First Officer
228,1148,Captain
701,4351,First Officer
374,4653,First Officer
780,2319,First Officer
321,2594,Captain
946,4643,First Officer
613,1514,Captain
778,3630,Captain
425,3084,Captain
403,1923,First Officer
467,201,First Officer
583,1257,First Officer
23,435,Captain
818,99,Captain
233,113,Captain
892,1869,First Officer
889,4389,First Officer
922,4383,Captain
598,564,Captain
138,241,Captain
679,2892,First Officer
935,49,First Officer
626,3256,First Officer
259,4728,First Officer
528,79,Captain
292,567,Captain
812,465,First Officer
103,251,Captain
24,1216,First Officer
539,637,First Officer
161,733,Captain
422,4048,First Officer
258,1474,Captain
499,88,Captain
253,713,Captain
586,4522,Captain
861,1892,First Officer
74,4963,First Officer
882,4209,Captain
603,3104,Captain
242,818,Captain
61,4528,Captain
976,3036,First Officer
651,3950,Captain
693,761,Captain
961,803,Captain
171,1648,First Officer
30,993,Captain
12,933,First Officer
560,4534,Captain
532,560,First Officer
330,258,Captain
478,3269,Captain
481,446,Captain
863,3765,Captain
609,2153,First Officer
897,431,First Officer
430,2028,Captain
909,4808,Captain
582,2118,Captain
344,4964,First Officer
725,1085,Captain
993,2533,First Officer
181,4760,Captain
322,1428,Captain
912,4,First Officer
260,811,First Officer
177,999,Captain
206,2681,First Officer
180,1648,Captain
363,3620,First Officer
782,121,First Officer
938,3832,Captain
848,1262,First Officer
47,4236,Captain
861,208,Captain
948,3845,Captain
318,253,First Officer
591,114,First Officer
27,2580,Captain
361,3709,Captain
952,961,First Officer
500,1190,First Officer
641,3065,Captain
28,2397,First Officer
578,2227,First Officer
846,4460,First Officer
386,280,First Officer
552,229,Captain
363,363,First Officer
205,1939,Captain
308,2386,First Officer
162,2677,Captain
699,1973,First Officer
309,744,Captain
299,4620,First Officer
195,2648,Captain
978,389,Captain
590,178,First Officer
704,1716,Captain
803,691,Captain
337,2135,First Officer
881,158,Captain
346,1841,Captain
937,1815,First Officer
332,4310,First Officer
199,4242,Captain
803,769,First Officer
116,4087,Captain
91,1796,Captain
865,1948,First Officer
777,484,First Officer
238,3858,Captain
350,569,First Officer
169,874,First Officer
78,4549,Captain
126,3139,First Officer
796,1264,Captain
984,1167,Captain
813,2727,Captain
679,4661,Captain
204,4666,Captain
39,168,Captain
207,3716,Captain
208,622,Captain
975,3639,First Officer
850,3725,First Officer
405,2967,First Officer
12,4138,First Officer
179,4574,First Officer
122,1884,First Officer
179,1941,Captain
377,3359,Captain
772,1081,First Officer
627,2271,First Officer
526,3482,Captain
474,3173,First Officer
422,2826,First Officer
43,3186,Captain
411,2603,Captain
166,3957,Captain
232,2147,First Officer
39,4514,Captain
629,3084,First Officer
912,652,First Officer
725,2244,Captain
838,4203,Captain
756,4991,First Officer
883,1312,Captain
263,742,Captain
308,4762,Captain
831,259,Captain
378,3826,First Officer
129,2752,First Officer
969,4352,Captain
346,1261,Captain
640,1243,Captain
631,1072,First Officer
744,2807,Captain
635,3819,First Officer
749,936,First Officer
764,753,Captain
268,3799,Captain
551,4319,First Officer
243,4262,Captain
299,423,Captain
143,1550,First Officer
590,2062,First Officer
386,1047,Captain
103,978,First Officer
736,829,Captain
546,4554,Captain
496,3965,Captain
929,647,Captain
798,3325,First Officer
729,4303,Captain
769,4262,First Officer
682,3019,Captain
20,2476,Captain
450,3773,Captain
913,3545,Captain
951,4960,First Officer
459,2853,Captain
141,3178,First Officer
852,4126,Captain
179,3578,First Officer
10,2388,Captain
369,3866,First Officer
17,4019,Captain
42,169,Captain
769,4199,Captain
408,2572,First Officer
808,3502,First Officer
146,4915,Captain
348,2317,First Officer
369,3454,First Officer
818,3791,First Officer
701,3725,Captain
832,2490,Captain
516,2186,First Officer
793,4884,Captain
578,2006,First Officer
585,1198,First Officer
202,4935,Captain
495,412,First Officer
357,4828,First Officer
363,1911,First Officer
864,4786,First Officer
331,3578,First Officer
559,4580,Captain
974,4315,Captain
198,1526,Captain
136,3690,Captain
894,2576,First Officer
234,3443,Captain
812,3589,Captain
325,2355,First Officer
256,1274,Captain
948,1995,Captain
324,3447,First Officer
225,3364,First Officer
57,3085,First Officer
149,3186,First Officer
650,4157,Captain
471,2809,First Officer
918,1900,First Officer
943,3873,Captain
163,4622,First Officer
78,2824,Captain
885,3549,Captain
359,4631,Captain
444,3422,Captain
998,94,Captain
585,776,First Officer
656,536,First Officer
585,9,First Officer
863,117,First Officer
264,261,Captain
172,3107,First Officer
688,2887,First Officer
405,710,Captain
49,696,First Officer
547,4267,First Officer
609,3257,First Officer
88,1175,First Officer
854,386,Captain
86,3402,First Officer
278,378,Captain
622,6,First Officer
348,2469,Captain
492,668,First Officer
851,3975,Captain
420,2793,Captain
114,4831,First Officer
411,1834,Captain
58,265,Captain
32,4544,First Officer
918,3812,Captain
785,38,First Officer
166,4302,Captain
345,1148,First Officer
360,2404,Captain
477,3488,First Officer
933,4931,Captain
735,2037,First Officer
7,312,Captain
25,3374,Captain
847,3089,Captain
613,1444,First Officer
620,11,First Officer
739,522,Captain
636,926,First Officer
846,272,First Officer
595,4950,Captain
947,3973,First Officer
877,108,Captain
974,1851,First Officer
625,3457,First Officer
792,4987,Captain
683,3017,First Officer
572,1547,First Officer
56,724,First Officer
840,311,Captain
594,837,First Officer
445,4377,First Officer
368,4667,Captain
474,2612,Captain
854,648,Captain
505,545,Captain
457,2943,Captain
201,220,Captain
420,3541,Captain
172,3135,First Officer
759,4164,First Officer
237,3785,First Officer
4,3024,First Officer
943,1007,Captain
479,1175,First Officer
64,4180,First Officer
292,552,First Officer
946,1185,First Officer
653,1597,First Officer
155,1210,First Officer
349,4000,Captain
183,1750,First Officer
712,4138,First Officer
477,2357,First Officer
455,4670,Captain
456,1626,Captain
66,3748,First Officer
547,384,Captain
509,2523,Captain
886,3203,First Officer
968,2172,Captain
123,974,First Officer
260,4905,First Officer
269,1643,First Officer
748,1963,Captain
127,3150,Captain
138,3876,Captain
581,2573,Captain
874,583,First Officer
68,178,First Officer
575,366,First Officer
386,689,First Officer
360,3812,Captain
115,905,Captain
49,2391,First Officer
138,2144,First Officer
234,977,First Officer
128,1206,First Officer
820,4511,First Officer
53,4938,Captain
754,773,Captain
80,2388,First Officer
324,4184,Captain
691,1511,Captain
818,26,First Officer
118,479,First Officer
599,956,First Officer
751,2747,Captain
823,4035,First Officer
792,3981,Captain
922,2219,Captain
844,609,First Officer
658,3064,First Officer
80,4339,First Officer
717,3223,Captain
54,527,Captain
276,4903,Captain
266,1456,First Officer
574,2618,First Officer
831,501,Captain
792,4311,First Officer
910,3276,Captain
502,4915,Captain
277,4445,First Officer
833,4308,Captain
860,3902,First Officer
209,80,First Officer
600,4741,First Officer
398,3502,Captain
336,2130,First Officer
267,4709,First Officer
601,4794,First Officer
965,2955,Captain
857,4355,First Officer
860,2524,First Officer
80,2664,Captain
27,4543,First Officer
570,2620,First Officer
566,4980,Captain
41,4347,First Officer
640,7,Captain
641,3829,First Officer
552,2838,Captain
770,1733,First Officer
549,1669,First Officer
435,842,First Officer
730,2252,First Officer
500,4545,Captain
832,608,Captain
609,3881,First Officer
613,1103,Captain
687,110,Captain
420,1520,First Officer
14,330,Captain
730,1586,Captain
419,1710,Captain
876,238,First Officer
252,3986,Captain
620,3029,Captain
449,2915,Captain
590,383,Captain
282,442,Captain
860,497,Captain
873,3730,First Officer
82,120,First Officer
335,161,First Officer
54,2425,Captain
424,822,Captain
383,4996,Captain
100,1985,Captain
669,2391,Captain
730,3137,First Officer
236,4199,Captain
182,2653,Captain
828,1495,Captain
795,897,Captain
373,4411,First Officer
751,2520,Captain
689,3450,First Officer
579,1696,First Officer
219,256,Captain
167,63,First Officer
390,2129,First Officer
411,3915,First Officer
977,2285,First Officer
231,2471,First Officer
730,2513,First Officer
926,4560,Captain
168,2640,Captain
622,4587,Captain
872,2826,First Officer
264,91,Captain
789,4558,First Officer
707,3567,Captain
226,4381,First Officer
858,2018,Captain
9,4062,First Officer
640,808,First Officer
548,4237,Captain
371,3625,Captain
500,3242,Captain
836,3242,Captain
525,1920,Captain
760,1704,Captain
130,3610,First Officer
686,3488,First Officer
897,2380,First Officer
545,2935,Captain
571,85,Captain
837,2178,First Officer
195,2049,Captain
24,1527,First Officer
598,4417,First Officer
432,1644,Captain
785,4528,First Officer
596,3360,Captain
410,2723,Captain
671,656,Captain
27,558,Captain
379,3325,First Officer
434,1507,Captain
202,192,Captain
51,3148,Captain
805,4245,First Officer
827,738,First Officer
328,4964,Captain
401,1173,Captain
768,1120,Captain
52,967,First Officer
192,4424,First Officer
212,1077,Captain
496,265,First Officer
422,4014,First Officer
873,3599,Captain
352,2352,First Officer
992,1805,Captain
899,1648,First Officer
723,3348,First Officer
222,1050,First Officer
341,3960,Captain
736,4462,First Officer
531,1907,Captain
172,1932,Captain
143,3673,First Officer
613,3259,Captain
500,3096,Captain
621,3639,Captain
383,3532,First Officer
681,1872,Captain
87,734,First Officer
660,2286,Captain
844,2217,First Officer
865,3107,First Officer
22,878,First Officer
824,4273,Captain
726,4255,Captain
370,4405,Captain
956,1836,First Officer
619,4086,Captain
974,867,First Officer
862,2280,First Officer
395,2681,Captain
412,3742,Captain
719,4111,First Officer
306,3914,First Officer
296,669,Captain
300,1098,Captain
710,2126,First Officer
147,3629,Captain
202,4672,Captain
71,456,First Officer
372,4612,Captain
206,4071,First Officer
978,4023,First Officer
728,540,First Officer
559,1223,Captain
48,159,First Officer
560,4679,First Officer
461,887,First Officer
102,1564,First Officer
457,1085,First Officer
428,2649,Captain
962,2889,First Officer
348,2980,Captain
574,57,Captain
889,4655,Captain
445,3957,Captain
621,2039,First Officer
496,4506,First Officer
633,3262,First Officer
500,3347,First Officer
319,2041,Captain
423,475,Captain
369,2546,Captain
369,1952,Captain
87,2718,First Officer
121,2563,First Officer
636,4445,Captain
807,680,Captain
684,3104,First Officer
340,1951,Captain
930,2339,First Officer
577,4600,Captain
756,566,Captain
364,3219,Captain
780,3691,First Officer
382,3819,Captain
868,3455,First Officer
716,4267,First Officer
117,1621,First Officer
132,1000,Captain
959,1460,Captain
774,847,Captain
553,1146,First Officer
413,3250,First Officer
246,2592,Captain
325,99,First Officer
967,88,Captain
47,2328,First Officer
164,2187,First Officer
545,111,Captain
482,2842,First Officer
789,2495,First Officer
491,396,Captain
311,4032,Captain
217,1403,First Officer
372,4255,Captain
885,3648,First Officer
248,199,First Officer
738,3752,First Officer
700,4365,Captain
754,65,First Officer
45,2020,Captain
227,286,Captain
483,1502,First Officer
672,1821,First Officer
966,2299,First Officer
279,3777,First Officer
889,4386,Captain
479,2386,Captain
532,1070,Captain
978,4466,First Officer
408,1001,First Officer
863,1289,First Officer
376,3349,First Officer
36,4712,Captain
689,134,Captain
420,853,Captain
505,2978,Captain
94,1984,Captain
655,2604,Captain
120,3914,Captain
30,2917,First Officer
700,1315,First Officer
378,4683,Captain
778,2102,First Officer
99,274,Captain
243,2296,Captain
933,3796,Captain
290,4184,Captain
86,669,First Officer
931,2171,Captain
246,4085,Captain
766,2541,Captain
933,2685,First Officer
757,2671,Captain
769,377,First Officer
620,1285,Captain
824,3146,Captain
644,4529,Captain
847,1540,Captain
539,901,First Officer
383,559,First Officer
79,4198,Captain
414,2353,Captain
933,3766,First Officer
815,1425,Captain
475,3462,First Officer
262,1539,First Officer
204,2973,First Officer
671,2310,Captain
976,760,Captain
810,4533,Captain
512,4962,First Officer
639,135,First Officer
70,3599,Captain
649,2279,First Officer
21,4043,Captain
24,4178,Captain
399,4813,Captain
215,2725,Captain
797,3180,First Officer
141,3355,Captain
111,161,Captain
705,3140,First Officer
562,1784,Captain
187,3307,Captain
361,3971,First Officer
83,694,First Officer
645,1983,Captain
919,1188,Captain
434,4008,First Officer
513,597,Captain
377,3036,Captain
568,1709,Captain
710,3787,First Officer
78,1020,Captain
668,3418,First Officer
986,215,First Officer
943,4709,First Officer
517,4668,First Officer
657,4564,First Officer
173,2154,Captain
559,3956,First Officer
71,2670,Captain
916,2524,Captain
754,2599,Captain
775,2949,Captain
676,4733,Captain
422,3355,Captain
619,1968,First Officer
533,3403,Captain
442,385,First Officer
444,3739,First Officer
429,3333,First Officer
566,2721,Captain
105,3243,First Officer
828,1991,First Officer
789,3052,First Officer
756,398,First Officer
750,1172,First Officer
242,2341,Captain
892,3707,Captain
434,306,First Officer
883,3709,First Officer
118,1568,Captain
613,4958,Captain
119,4749,First Officer
76,1839,First Officer
645,3124,First Officer
491,2652,Captain
238,1557,Captain
154,4907,First Officer
415,3021,First Officer
695,3825,Captain
940,3743,First Officer
405,869,First Officer
192,2527,Captain
319,3047,First Officer
74,2709,First Officer
160,3758,First Officer
968,1455,Captain
494,3920,Captain
869,1460,Captain
144,2249,First Officer
772,3836,First Officer
744,4847,Captain
557,2387,First Officer
33,4545,Captain
490,560,First Officer
96,4711,First Officer
91,3206,Captain
612,1465,Captain
243,4278,First Officer
436,1127,First Officer
920,1960,Captain
248,1672,Captain
535,1836,Captain
317,321,Captain
240,2279,First Officer
206,2530,Captain
222,2730,First Officer
136,139,First Officer
691,1821,Captain
142,1949,Captain
328,2880,First Officer
693,3296,Captain
494,1465,First Officer
311,2787,Captain
973,843,Captain
120,1542,Captain
514,1953,First Officer
497,4988,First Officer
389,4931,Captain
21,1886,First Officer
114,4767,First Officer
899,1308,Captain
365,4736,Captain
498,3724,First Officer
5,4645,Captain
36,2841,Captain
428,1143,First Officer
411,1651,Captain
686,1126,First Officer
429,2413,Captain
607,2258,Captain
552,1883,Captain
51,4465,Captain
477,1366,First Officer
685,1568,First Officer
414,3735,Captain
981,3523,Captain
119,507,Captain
989,1987,Captain
115,1705,Captain
524,4551,Captain
300,524,First Officer
878,839,Captain
330,3102,First Officer
13,1665,Captain
133,422,Captain
252,538,First Officer
597,457,First Officer
832,1371,First Officer
828,4946,First Officer
231,3150,First Officer
498,1224,First Officer
164,4416,First Officer
400,1986,Captain
464,2351,Captain
848,493,First Officer
294,3739,First Officer
22,4544,Captain
591,1719,First Officer
363,2358,First Officer
168,3616,Captain
258,1306,Captain
86,4262,First Officer
999,4086,First Officer
828,539,Captain
782,4768,Captain
720,1974,First Officer
153,3855,First Officer
186,790,First Officer
311,3525,First Officer
70,3092,Captain
20,4610,Captain
328,3686,Captain
102,3228,Captain
466,4507,Captain
859,4160,First Officer
588,2544,Captain
656,4617,First Officer
974,1452,First Officer
228,3892,Captain
212,1591,First Officer
407,1289,First Officer
148,884,First Officer
515,3170,Captain
907,2698,First Officer
12,2856,First Officer
916,4636,Captain
6,785,First Officer
119,4548,Captain
161,2311,First Officer
539,3809,First Officer
704,1199,Captain
906,1950,First Officer
110,3914,First Officer
907,1670,First Officer
213,4771,Captain
924,4718,First Officer
602,74,Captain
307,3134,First Officer
551,1491,First Officer
576,3228,First Officer
233,1178,First Officer
534,2126,Captain
389,3262,Captain
571,733,Captain
695,4491,First Officer
200,3486,First Officer
492,3506,First Officer
595,2933,First Officer
359,3877,Captain
598,2475,First Officer
719,1160,First Officer
923,2409,Captain
764,3354,Captain
674,4019,Captain
14,4291,Captain
250,88,Captain
775,4068,First Officer
651,3490,First Officer
322,3457,First Officer
783,2499,First Officer
176,2095,First Officer
708,1024,First Officer
544,4863,First Officer
197,1706,Captain
545,3938,Captain
607,381,Captain
350,1217,First Officer
970,2712,First Officer
65,3462,First Officer
395,4840,First Officer
167,3899,Captain
104,2910,First Officer
758,3238,First Officer
723,1135,First Officer
34,4151,First Officer
236,876,Captain
316,2983,Captain
68,4306,First Officer
893,3147,Captain
542,3859,First Officer
221,3326,First Officer
284,4708,First Officer
420,4266,First Officer
537,3142,First Officer
450,1318,First Officer
167,3120,Captain
337,284,Captain
425,3414,First Officer
435,739,First Officer
809,2980,Captain
164,4366,Captain
458,379,First Officer
663,2929,Captain
439,1468,Captain
163,1096,Captain
681,2563,Captain
380,3021,Captain
761,1981,First Officer
314,4225,Captain
369,3019,First Officer
398,1147,First Officer
139,2831,First Officer
657,1123,Captain
1,104,Captain
722,4931,Captain
995,4892,First Officer
132,1005,First Officer
984,2722,Captain
559,2258,Captain
109,1939,First Officer
938,441,First Officer
768,1494,First Officer
719,3902,Captain
187,3646,Captain
531,646,First Officer
360,580,First Officer
616,1991,First Officer
319,579,First Officer
316,3938,First Officer
476,2523,Captain
26,1543,First Officer
396,1706,First Officer
127,3264,Captain
88,4816,Captain
715,2243,Captain
916,3630,First Officer
963,795,First Officer
411,1088,First Officer
265,2910,Captain
474,4083,First Officer
457,4106,First Officer
232,4169,First Officer
181,1600,First Officer
209,3984,First Officer
972,2864,Captain
2,3062,First Officer
974,3006,Captain
806,2762,First Officer
